Nombre
"Mallo, Julio"
"Mañana, Eugenio"
"Maneiro, Ildo"
"Manito, Agustín"
"Manito, Guillermo"
"Manito, Vicente"
"Manrique, Matías"
"Mansilla, Brian"
"Mansilla, Miguel Ángel"
Manzzini
"Mapelli, Damián"
"Marcenaro, Nelson"
"Marcenaro, Roland"
"Marchbanks, James"
"Marco, S."
"Marenco, Álvaro"
"Mariani, Paulo"
Marotta
Marquesano
"Márquez, Álvaro"
"Márquez Castro, Antonio"
"Martiarena, Francisco"
"Martínez, Alberto"
"Martínez, Andrés"
"Martínez, Daniel"
"Martínez, Edgardo"
"Martínez, Enzo"
"Martínez, Fidel"
"Martínez, Franco"
"Martínez, Héctor César"
Martínez Jorge
"Martínez, Juan"
"Martínez Píriz, Alberto"
"Martínez, Rúben"
"Martínez, Sergio"
"Martínez, Teófilo"
"Martínez, Víctor"
"Martínez, William"
"Martins, Claudio"
"Martins, Manuel"
"Martinuccio, Alejandro"
"Marzoa, Gabriel"
"Mascheroni, Ernesto"
"Masnik, Juan Carlos"
"Máspoli, Roque Gastón"
"Mastrángelo, Santiago"
"Mata, Luis"
"Mathesson, Guillermo"
"Matheu, Carlos"
"Matosas, Gustavo"
"Matosas, Roberto"
"Matta, R."
"Mattera, Juan José"
"Mauri, Felipe"
"Mauriño, Vicente"
"Mautone, Edmundo"
"Mayada, Camilo"
"Maz, Sebastián"
"Mazurkiewicz, Ladislao"
"Mazzuco, Lorenzo"
"Mazzullo, Pedro"
"Mechoso, Ezequiel"
"Mederos, Mario"
"Medina, Álan"
"Medina, Augusto"
"Medina, G."
"Medina, Ignacio"
"Medina, Juan Francisco"
"Medina, Omar"
"Medrano, Antonio"
Meirán
"Mejía, Cristian"
"Melgarejo, Daniel"
"Melgarejo, Hugo"
"Melgar, Luis"
"Melo, Néstor"
"Méndez, Armando"
"Méndez, Diego"
"Méndez, Fabricio"
"Méndez, Héctor"
"Méndez, Javier"
"Méndez, Kevin"
"Méndez, Marcelo"
"Méndez, Mario"
"Méndez, Mario Omar"
"Méndez, Washington"
Mendilarzu
"Meneses, Raúl"
"Mengler, Adolfo"
"Menini, Fernando"
"Menosse, Hernán"
"Mercadal, Luis"
"Merentiel, Miguel"
"Mermies, Juan"
Mesa
"Mesa, Luis"
"Meyer, Carlos"
"Mezquida, Nicolás"
"Mieres, Eduardo"
"Mier, Matías"
"Migales, Francisco"
"Migliore, Pablo"
Miguel Rodríguez
"Míguez, Óscar"
"Milán, José María"
"Milano, Marcelo"
"Milans, Pedro"
"Milatos, Jorge"
"Milesi, Nicolás"
"Miñan, Hugo"
"Minella, José María"
"Minetti, Mario"
"Minoli, Luis"
"Mino, M."
"Miraballes, Valentín"
"Miramontes, Juan Alberto"
"Miramontes, Luis Alberto"
"Miramontes, Ricardo"
"Miranda, Ángel"
"Mitarian, Alejandro"
Mito
"Mitrovic, José"
Moacyr
"Módena, Vicente"
"Moger, N."
"Mogordoy, Juan"
"Mohammed, Audu"
"Molina, Héctor"
"Möller, Ricardo"
"Mombelli, Rubí"
"Mónaco, Juan José"
"Mongelar, Carlos"
"Montañes, José Luis"
"Montaño, Elio"
"Montelongo, Bruno"
"Montelongo, Néstor"
"Montero, Aníbal"
"Montero, Germán"
"Montero, Héctor"
"Montero, Ismaél"
"Montero, Paolo"
"Monzón, Nelson"
"Moor, Maitland"
"Moor, Roland"
"Moraes, Nelson"
"Mora, Juan José"
"Morales, Gumersindo"
"Morales, Iván"
"Morales, Juan Vicente"
"Morán, Juan"
"Morán, Ricardo"
"Mora, Rodrigo"
"Morás, Luis"
"Morasso, Eugenio"
"Moreira, Miguel"
"Moreira, Yefferson"
Morelli
"Morena, Diego"
"Morena, Fernando"
"Moreno, Alberto"
"Moreno, José"
"Moreno, José Alberto"
"Moreno, Leonardo"
"Moreno, N."
"Moressi, Julio"
"Morgan, Kevin"
"Morixe, Carlos"
Morris
"Moscarelli, Alfredo"
"Mosco, Foti"
"Moss, José Ricardo"
"Mozzo, Julio"
"Muhlethaler, Juan"
"Muhlethaler, Stiven"
"Muiños, Santiago"
Mujica
"Muñiz, Agenor"
"Muniz, Ramón"
"Mur, Andrés"
"Murillo, Miguel"
"Murillo, Oscar"
"Musto, Damián"
"Myers, Roy"
"Nadruz, Agustín"
"Nahuelpán, Ariel"
"Ñamandú, Marcelino (a prueba)"
"Nández, Nahitan"
"Naón, Arturo"
"Nappias, Juan"
"Nardelli, Pedro"
"Nario, Enrique"
Nasa
"Navarro, Enrique"
"Navarro, Joaquín"
Navarrón
"Navarro, Sergio"
"Necchi, Juan"
Negreira
"Negrón, Julio"
"Neris, José"
"Neto, João"
"Ngcobo, Abednigo"
"Nicola, Alejandro"
"Nicolini, Ignacio"
"Nitder Pizzani, Laddy"
"Nkomo, Goodenough"
"Noble, Alexis"
"Noble, William"
"Noguera, Gonzalo"
"Nogués, Alberto"
"Nogués, Pablo"
"Nogués, R."
"Nongoy, Pablo"
"Novasco, Juan"
"Novick, Hernán"
"Novick, Marcel"
"Nugent, Richard"
"Nunes, Luiz"
"Núñez, Antonio"
"Núñez, Carlos"
"Núñez, Darwin"
"Núñez, Júnior"
"Núñez, Nildo"
"Núñez, Ramón"
"Núñez, Richard"
"Núñez, Sergio"
"Obelar, Juan"
"Ochiussi, Francisco"
"Oddine, Sergio Daniel"
"Oddo, Julio"
"Odriozola, Carlos"
"Odriozola, José Luis"
"Ojeda, Fulgencio"
"Olase, Tomás"
"Olhagaray, Ramón"
"Olivares, Heriberto"
Olivera
"Olivera, Bruno"
"Olivera, Bryan"
"Olivera, Cristian"
"Olivera, Denis"
"Olivera, Juan"
"Olivera, Juan Manuel"
"Olivera, Maximiliano"
"Olivera, Máximo"
"Olivera, Rodolfo"
"Olivera, Rúben"
"Olivera, Venancio"
"Olivera, Vicente"
"Olivera, Walter"
"Olivera, Washington"
Olivieri
"Olveira, Nelson"
"Omarini, Ángel"
"Onega, Ermindo"
"O'Neill, Jairo"
"Onorato, Luis"
"Orellano, Samuel"
"Orestes Rey, Walter"
Orizzia
"Orlando, Nicolás"
"Oroná, Marco"
"Orsi, Pablo"
"Orsi, Raimundo"
"Órteman, Sergio"
"Ortiz, José María"
"Ortíz, José María"
"Ortiz, Juan Manuel"
"Ortiz, Manuel"
"Ortiz, Modesto"
"Ortíz, Ricardo"
"Ortuño, Washington"
"Osorio, Juvencio"
"Ostolaza, Santiago"
Osvaldinho
"Otegui, José"
"Otero, Marcelo"
Other
"Ottonello, Carlos"
"Oubiñas, Santiago"
Oviedo
"Pacheco, Antonio"
"Pacheco, Jorge"
Paddy
"Paglia, Marcelo"
"Paglione, Mauro"
"Pagola, Ricardo"
"Pajor, Julio"
"Palacios, Cristian"
"Palermo, Francisco"
"Paleso, Ángelo"
"Palmer, Ernesto"
Palomeque
"Pandiani, Walter"
"Pan, Julio César"
"Panto, Nicolás"
"Panzardo, Sergio"
"Paola, Pascual"
"Parodi, J."
"Pastorini, Nicolás"
"Pastorini, Rodrigo"
Paulinho
"Paz, Adrián"
"Paz, Juan Carlos"
"Paz López, Andrés"
"Pazos, Américo"
"Paz, Rúben"
Pedalino
"Pedernera, Ovidio"
"Pedra, Guillermo"
"Pedro, João"
"Pedroza, Teodoro"
"Pedrozo, Ruben"
"Pedrucci, Pedro"
"Peduto, Emilio"
"Peirano, Miguel"
"Peláez, Donald"
"Peláez, Juan José"
"Pellistri, Facundo"
"Pelúa, Antonio"
"Peluffo, Juan Antonio"
"Peluffo, Sergio"
"Pena, Juan"
"Peña, Ramón"
"Peón, Juan Carlos"
"Peralta, Jorge Alberto"
"Peralta, Juan"
"Peralta, Sergio"
"Peralta, Yonny"
"Peratto, Juan"
"Percudani, José"
"Perdomo, Elbio"
"Perdomo, José"
"Perdomo, Rubens"
"Perdomo, Stéfano"
"Perdomo, Tidio"
"Perea, Fabián"
"Pereira, Andrés"
"Pereira, Daniel"
"Pereira, Dardo"
"Pereira, Diego"
"Pereira, Eduardo"
"Pereira, Guzmán"
"Pereira, Hamilton"
"Pereira, Juan José"
"Pereira, Julio César"
"Pereira, Lucas (a prueba)"
"Pereira, Maximiliano"
"Pereira, Pablo"
"Pereira, Rúben"
"Pereira, Walter"
"Pereyra, A."
"Pereyra De los Santos, Jorge"
"Pereyra, Estevan"
"Pereyra, Fabiano"
"Pereyra, Julio"
"Pereyra, Luis"
"Pereyra, Marcelo"
"Pereyra Nattero, Flavio"
"Pereyra, Sebastián"
"Pereyra, Víctor"
"Pereyra, Walter"
"Pereyra, Washington"
"Pérez, Antonio"
"Pérez, Carlos"
"Pérez, Diego"
"Pérez, Eduardo"
"Pérez, Federico"
"Pérez, Jorge"
"Pérez, José"
"Pérez, Juan"
"Pérez, Ladislao"
"Pérez, Matías"
"Pérez, Maximiliano"
"Pérez, Omar"
"Pérez, Próspero"
"Pérez, Richard"
"Pérez, Rodrigo"
"Pérez, Sergio"
"Pérez Serrés, Julio"
"Pérez, Walter"
"Perg, Maximiliano"
"Peri, Juan Carlos"
"Perreta, Rodolfo"
"Peruena, Carlos"
"Perusso, Juan"
"Pessina, Romualdo"
"Petkovic, Ilija"
"Petrone, Pedro"
"Petryk, Hernán"
"Pezzolano, Paulo"
"Phoyú, Jorge"
"Piazza, Miguel Ángel"
Picarelli
Piendibene Cardozo
"Piendibene, José"
"Pierre, Jean Jacques"
"Pierri, Eduardo"
"Pietropinto, Horacio"
"Pilas, Gerardo"
"Pilipauskas, Leonel"
"Pinato, Walter"
"Piñeiro, José"
"Piñeiro, Rodrigo"
"Piñero, Darío"
"Piñeyro, Rodolfo"
"Pini, José Luis"
"Pino, Lorenzo"
"Pino, Santiago"
"Pintado, Plácido"
"Pintos, Álvaro"
"Pintos, Ariel"
"Pintos, Eleuterio"
"Pintos, Mathías"
"Pintos, Milton"
"Pioli, Roberto"
"Pippo, Rodolfo"
"Piquerez, Joaquin"
"Pírez, Agustín"
"Pírez, Sergio Daniel"
"Pirillo, Silvio"
"Píriz, Fabián"
"Píriz, Jonathan"
"Píriz, Juan"
"Píriz, Sebastián"
"Píriz, Uruguay"
"Píriz, Willy"
"Pisa, Silvestre"
"Pissanes, Eduardo"
"Pittamiglio, Arístides"
"Pittamiglio, Pedro"
"Pizzichillo, Gonzalo"
"Plá, Miguel"
"Plazaola, Máximo"
"Pollero, Rodrigo"
Polvorini (a prueba)
"Ponce, Javier"
"Poncet, Gastón"
"Pons, Bernabé"
"Poole, William"
Portalupi
"Portugal, Mario"
"Possamai, Sixto"
"Posse, José"
"Pouso, Omar"
"Prado, Agustín"
"Prais, Luis"
"Presa, Jesús"
"Presa, Nelly"
"Presente, Nelson"
"Priario, Emanuel"
"Pronzetti, Luis"
"Púa, Federico"
Pucciarelli
"Puentes, Gumersindo"
"Puime, Luis"
"Quaglia, Luis"
"Quagliatta, Antonio"
"Quevedo, Daniel"
"Quevedo, Hugo"
"Quevedo, Jesús"
"Quiñones, Pablo"
"Quintana, Darwin"
"Quintana, Yeferson"
"Quinteros, Nery"
"Quinteros, Oscar"
"Quirino, Ignacio"
"Quirino, Javier"
"Quiroga, Julio César"
"Rabajda, Gerardo"
"Rabino, Juan Pedro"
"Radiche, Luis"
"Raffart, Mario"
"Raffo, Ernesto"
"Raguso, Nicolás"
"Rak, Yonatthan"
"Ramacciotti, Aldo"
"Rama, Jorge"
"Ramírez, Gabriel"
"Ramírez, Gastón"
"Ramírez, Isabelino"
"Ramírez, Nicolás"
"Ramírez, Ronald"
"Ramis, Jonathan"
"Ramos, Ángel"
"Ramos, Emilio"
"Ramos, Juan Manuel"
"Ramos, Leonardo"
"Ramos, Marcos"
"Ramos, Maximiliano"
"Ramos, Venancio"
"Ramsay, David"
"Ravel, Carlos"
"Ravera, Andrés"
"Recalde, Luis"
"Recoba, Sergio"
"Redes, Jorge"
"Reggiardo, Juan"
"Regueiro, Amador"
"Rehermann, Gustavo"
Reisch
"Reis, Estefani"
"Remedi, Eric"
"Repetto, Jorge"
"Restelli, Jorge"
"Revetria, Hebert"
"Reyes, Alejandro"
"Reyes, Carlos"
"Reyes, Guillermo"
"Reznik, Miguel Ángel"
"Rial, Víctor"
"Riascos, Misael"
"Riccardi, Nicolás"
Ricchi
"Richieri, Julio"
"Riephoff, Juan Pedro"
"Rímolo, Pedro"
"Riolfo, Carlos Juan"
"Ríos, Carlos Alfredo"
"Ríos, M."
"Risso, Carlos"
"Risso, Juan"
"Rivadavia, Julio César"
"Rivadavia, Luis"
"Rivas, Martín"
"Riveiro, Jorge"
"Rivera, Eduardo"
"Rivero, Agapito"
"Rivero, César"
"Rivero, Eliseo"
"Rivero, Hernán"
"Rivero, Juan José"
"Rivero, Miguel"
"Rivero, Narciso"
"Rivero, Saúl"
"Roa, Alfredo"
Robinson
"Robira, E."
"Rocha, Fernando"
"Rocha, Luis"
"Rocha, Pedro"
"Roche, Roberto"
"Rodales, Andrés"
"Rodas, Julio"
Rodríguez
"Rodríguez, Adolfo"
"Rodríguez, Agustín"
"Rodríguez Andrade, Víctor"
"Rodríguez, Andrés"
"Rodríguez, Ángel"
"Rodríguez, Anyelo"
"Rodríguez, Asdrúbal"
"Rodríguez Barboza, César"
"Rodríguez, Braian"
"Rodríguez, Brian"
"Rodríguez Canobra, Agustín"
"Rodríguez, Carlos"
"Rodríguez, Carlos Santiago"
"Rodríguez, César Manuel"
"Rodríguez, Cristian"
"Rodríguez, Daniel"
"Rodríguez, Darío"
"Rodríguez, Diego"
"Rodríguez Duarte, Julio César"
"Rodríguez, Elio"
"Rodríguez, Facundo"
"Rodríguez Garay, Julio César"
"Rodríguez, Gastón"
"Rodríguez, Gerardo Washington"
"Rodríguez, Gianni"
"Rodríguez, Guillermo"
"Rodríguez, Guzmán"
"Rodríguez, Hermia"
"Rodríguez, Isabelino"
"Rodríguez, Isabelino Ismael"
"Rodríguez, Jonathan"
"Rodríguez, Jorge Marcelo"
"Rodríguez, José"
"Rodríguez, José Luis"
"Rodríguez, José María"
"Rodríguez, Juan"
"Rodríguez, Julio José"
"Rodríguez, Kevin"
"Rodríguez, Martín"
"Rodríguez, Mathías"
"Rodríguez, Maximiliano"
"Rodríguez, Oscar"
"Rodríguez, Randall"
"Rodríguez, Raúl"
"Rodríguez Rodríguez, Jorge"
"Rodríguez, Sebastián"
"Rodríguez Secco, Julio César"
"Rodríguez, Simón"
"Rodríguez, Valentín"
"Rodríguez, Washington Julio"
"Rognoni, Miguel"
"Rojas, Alfredo"
"Rojas, Gabriel"
"Rojo, Rodrigo"
"Rolan, Diego"
"Roldán, Braulio"
"Román, A."
"Romanelli, Nelson"
"Román, Marcel"
"Romano, Ángel"
"Romano, Lucas (a prueba)"
"Román, San"
"Romay, Juan Manuel"
"Romero, Adhemar"
"Romero, Adrián"
"Romero, Carlos"
"Romero, Feliciano"
"Romero, Héctor"
"Romero, Joel"
"Romero, Juan José"
"Romero, Luis"
"Romero, Luis María"
"Romero, Marcelo"
"Rongo, Luis María"
"Ronzoni, Carlos"
"Rosa, Fernando"
"Rosa, Julio"
"Rosano, Sebastián"
Rosas
"Rosas Riolfo, Carlos"
Roselló
"Ross, Conrado"
"Rossi, Diego"
"Rossi, Nicolás"
"Rossi, Rigieri"
"Ross, José"
"Rotti, Marcelo"
"Rótulo, José"
"Rotundo, Nicolás"
"Rouse, J."
"Roux, Abel"
"Rovella, Víctor"
Rozas
Rubão
"Rubilar, Salvador"
"Rufinetti, Oscar"
"Ruggiero, Pascual"
"Ruiz, Enzo"
"Ruotta, Pascual"
"Russo, José Luis"
"Russo, Miguel Ángel"
"Russo, Pablo"
Saavedra
"Saba, Roberto"
"Sacco, Antonio"
Saccone
"Sagehorn, Herbert"
"Sagioratto, Daniel"
"Saldaño, José Luis"
"Salgado, Gustavo"
"Salgueiro, Gerardo"
"Salgueiro, Gonzalo"
"Salinas, Miguel"
"Salles, Silvio"
Salvador
"Samudio, Nelson"
"Sánchez, Ángel"
"Sánchez, Carlos"
"Sánchez, Daniel"
"Sánchez, Jorge"
"Sánchez, Juan"
"Sánchez, Rafael"
"Sánchez, Ruben"
"Sandoval, Jonathan"
"Sandoval, Rodolfo"
"Sanguinetti, Manuel"
"San Martín, Juan"
"Sansone, Rafael"
"Santana, Damián"
"Santana, Paulo Piris"
"Santelli, Alberto"
"Santero, Juan"
"Santillán, Juan"
"Santín, Sergio"
"Santoro, Roberto"
"Santos, Bruno (a prueba)"
"Santos, Felípe"
"Santos, Héctor"
"Santos Iriarte, Victoriano"
"Santos, Miguel Ángel"
"Saralegui, Mario"
"Saravia, Heber"
"Saravia, Rodrigo"
"Sarni, Vicente"
"Saroldi, Federico"
"Sasía, José"
"Sauco, Luis"
"Sa Varalla, Dagoberto"
"Savio, Bernardo"
"Savio, Enrique"
"Scandroglio, Carlos"
"Scapuccio, Ricardo"
"Scarone, Carlos"
"Scarone, Fredesvindo"
"Scarone, Roberto"
"Scarrisbrick, Juan José"
Schenone
"Schiaffino, Juan Alberto"
"Schiaffino, Raúl"
"Schiappacasse, Nicolás"
"Schieffer, Bruno"
"Schneider, Sebastián"
"Scoones, Offley"
"Sedgfield, Percy"
"Segovia, Eduardo"
Seigal
"Sena, Euclides"
"Seoane, P."
"Sequeira, Leonardo"
"Serna, Jorge"
"Serrato, Pablo"
Severo
"Severo, Gustavo"
"Siboldi, Robert"
"Siles, Alejandro"
"Silva, A."
"Silva, Alejandro"
"Silva, Alex"
"Silva, Baltasar"
"Silva, Darío"
"Silva, Doroteo Luis"
"Silva, Félix"
"Silva, Fernando"
"Silva, Gastón"
"Silva, Gildeón"
"Silva, Héctor"
"Silva, Hugo"
"Silva, Juan Ramón"
"Silva, Luis Ademir"
"Silva, Marcelo"
"Silva, Martín"
"Silva, Próspero"
"Silva, Santiago"
"Silva, Walkir"
"Silveira, Wilson"
"Silvera, César"
"Silvera, Eduardo"
"Silvera, Mauricio"
"Silvera, Maximiliano"
"Silvera, Ricardo"
"Silvero, Arsenio"
"Silvestre, Diogo"
Silvinho
"Simaldone, Carlos"
"Simoncelli, Walter"
"Sinibaldi, Francisco"
Smith
"Smith, Richardson"
"Soca, Carlos"
"Soisa, Julio"
"Solans, Luis"
"Solari, Santiago"
"Solimando, Yamandú"
Somma
"Soñora, Antonio"
"Sopeña, Julio"
"Soria, Jonathan"
"Soria, Juan Carlos"
"Soria, Martín"
"Soria, Néstor"
"Soria, Ricardo"
"Soria, Rubén"
"Sosa, Beltrán"
"Sosa, Diego"
"Sosa, Fermín"
"Sosa, Heberley"
"Sosa, Ignacio"
"Sosa, Jorge"
"Sosa, Marcelo"
"Sosa, Robert Walter"
"Sosa, Sebastián"
"Sosa, Uruguay"
"Sosa, Walter"
"Sosa, Washington"
"Souto, Arturo"
"Souto, Manuel"
Souza
"Spencer, Alberto"
"Speranza, Luis"
"Spósito, Carlos"
"Spósito, Gerardo"
"Sténeri, Juan"
"Stewart, James"
"Sturzenegger, Carlos"
"Suárez, Ángel"
"Suárez, Damián"
"Suárez, José"
"Suárez Lisboa, Carlos"
"Suárez, Pedro"
"Suffiotti, Arturo"
"Surraco, Walter"
"Swiden, G."
"Swiden, H."
"Tabárez, Diego"
"Taboada, Alberto"
"Taibo, Walter"
"Tais, Washington"
"Tarragona, Raúl"
"Tatap, Michel (a prueba)"
"Tea, Juan Enrique"
"Tealde, Facundo"
"Techera, Wilinton"
Teia (a prueba)
"Tejeiro, A."
"Tejera, Celestino"
"Tejera, Juan"
"Tejera, Marcelo"
"Tejera, Omar"
"Tellechea, Horacio"
Tenant
"Terans, David"
"Terevinto, Pablo"
"Thomas, William"
Ticão
"Tognochi, Raúl"
"Tognola, José"
"Toja, Julio"
"Toledo, Javier"
"Toledo, Paulo"
"Tonar, César"
Torrens
"Torres, Aureliano"
"Torres, Édison"
"Torres, Facundo"
"Tort, Mauricio"
"Toscano, Alfredo"
"Tosetti, Carlos"
"Tottene, Roque"
Tottersan
"Trasante, Obdulio"
"Traverso, Aníbal"
"Trecco, Pablo (a prueba)"
"Trianón, Jorge"
"Trindade, Jesús"
"Troison, Luis"
"Tuja, Héctor"
"Turcios, Danilo"
"Umpiérrez, Leandro"
"Umpiérrez, Rúben"
"Umpiérrez, Sergio"
"Unánue, Lorenzo"
"Urbano, Alberto"
"Ureta, Mateo"
"Urretaviscaya, Jonathan"
"Urruti, Luis"
"Urtazú, Pablo"
"Uzal, Héctor"
"Vadócz, Krisztián"
Vaga
"Valdéz, Carlos"
"Valdéz, Jorge"
Valencia
"Valentierra, Arnulfo"
"Vallarino, Ricardo"
"Valle, Jonathan (a prueba)"
"Vallejo, Oscar"
"Valverde, Federico"
"Valverde, Juan Manuel"
"Valverde, Ramón"
Vanet
"Vanoli, Roberto"
"Varela, Darwin"
"Varela, F."
"Varela, Fernando"
"Varela, Guillermo"
"Varela, Jim Morrison"
"Varela, Jorge Sebastián"
"Varela, Julio"
"Varela, Luis Alberto"
"Varela, Manuel"
"Varela, Obdulio"
"Varela, Óscar"
"Varela, Severino"
"Vargas, Ernesto"
"Vasconcellos, Juan José"
"Vázquez, Carlos"
"Vázquez, José Antonio"
"Vázquez, Sebastián"
"Vecino, Luis Alberto"
"Vega, Facundo"
"Velázquez, W."
"Vera, Darío"
"Verdes, Manuel"
"Verdias, Guzmán"
"Verdi, Gilberto"
"Vergara, A."
"Viatri, Lucas"
"Vicente, Gonzalo"
"Vidal, Daniel"
"Vidal, Ernesto"
"Vidal, Manuel"
Videla
"Viega, Rodrigo"
Viera
"Viera, Adolfo"
"Viera, Alexis"
"Viera, Alfredo"
"Viera, Gonzalo"
"Viera, Milton"
"Viera, Ondino"
"Viera, Ricardo"
"Viglio, Héctor"
"Vigliola, Carlos"
"Vignart, A."
"Vigneri, Nicolás"
"Vignolo, Oscar"
"Vigo, Juan"
"Vigorito, Pedro"
"Vigo, Ruben"
Vila
"Villadóniga, José María"
"Villadóniga, Segundo"
"Villalba, Héctor"
"Villalba, Iván"
"Villalba, Jesús"
"Villalba, Juan"
"Villalba, Luis"
"Villa, Luis"
"Villamide, Hugo"
Villani
"Villar, Jorge"
"Villarreal, José Ignacio"
"Villarreal, José M."
"Villasante, Gustavo"
"Villegas, Francisco"
"Viola, Mario"
"Virgili, Orlando"
"Vitancurt, Gastón"
"Vittori, Dalmiro"
"Volpi, Neto"
"Wagner, Enrique"
"Ward, Carlos"
Warren
"Winsker, Bryan"
"Wins, Omár"
"Woosey, John"
"Wright, Harold"
"Xavier, Róbson"
"Xisco"
"Yaguno, Carlos"
"Yaguno, Eulogio"
"Yaluk, Carlos"
"Yankowiecz, Casimiro"
"Yanque, José Ramón"
"Yawson, John"
"Yepez, Ignacio"
"Young, Pedro"
"Zaballa, José"
"Zacarias"
"Zalayeta, Marcelo"
"Zalazar, José Luis"
"Zambrana, Jorge"
"Zamora, Sergio"
"Zanin, Gino"
"Zibechi, Pedro"
"Zingone, Pedro"
"Zinho"
"Zoryez, Mario"
"Zubía, Óscar"
"Zunino, Erebo"
