Nombre
"Biaggio, Claudio"
"Bianchini, Rúben"
Bica
"Biglianti, Nicolás"
"Biglio, Héctor"
"Biscardi, Pablo"
"Bixio, Juan"
"Bizera, Joe Emerson"
"Blanco, A."
"Blanco, Juan José"
"Blanco, Néstor"
"Blanco, Sergio"
"Boccardo, Alfredo"
"Boffi, Guillermo"
"Bogado, Juan"
Boggiano
"Bogliacino, Mariano"
"Bogni, Carlos"
"Bolívar, Bartolomé"
"Bologna, Enrique"
"Bombi, Edgardo"
"Bonelli, José"
"Bonette, Michael"
Bongiovani
"Bonifacino, Julián"
"Bonifazi, Facundo"
"Bonilla, Ariel"
"Bonini, Alberto"
"Bonner, Henry"
"Bonomi, J."
"Bonomi, Pedro"
"Borderes, Nelson"
"Bordoli, José"
"Borges, Carlos"
"Borges, Didier"
"Borges, Fabián"
"Borges, Ulises"
"Borghini, Luis Conrado"
"Borjas, Ignacio"
"Borjas, René (refuerzo de Uruguay Onward)"
"Borreani, José"
"Borteiro, Juan Carlos"
"Boselli, Martín"
"Bossio, Miguel"
"Bottyan, Juan"
"Bovio, Elmo"
"Brailowsky, Daniel"
"Brandón, Luis"
"Bravo, Christian"
Bressan
"Britos, Julio César"
"Britos, Matías"
"Broggia, Carlos"
"Broli, Marcelo"
"Broli, Martín"
"Broncini, Fausto"
"Brooker, Fitzhardinge"
"Brown, Roberto"
Brunereau
"Bruschi, Ramiro"
"Bruzzese, Antonio"
"Bucetta, Ramón"
"Buchanan, James"
"Bueno, Carlos"
"Bueno, Nerly"
"Bueno, Santiago"
"Bugallo, Orlando"
"Burgos, Juan"
"Burgos, Kristian"
"Burgueño, I."
"Burgueño, Juan"
"Burns - ""Doull"", John"
"Burns - ""Doull"", Richard"
"Buschiazzo, Fabrizio"
"Busquets, Ezequiel"
"Buzeta, Jorge"
"Buzetti, Juan Luis"
"Caballero, Fernando"
"Cabanillas, Juan Carlos"
"Cabral, Pedro"
Cabrera
"Cabrera, Ángel"
"Cabrera, César"
"Cabrera, Emilio"
"Cabrera, Fernando Javier"
"Cabrera, Gabriel"
"Cabrera, Gustavo"
"Cabrera, Ismael"
"Cabrera, Jacinto"
"Cabrera, Javier"
"Cabrera, Jorge"
"Cabrera, Ramón"
"Cáceres, Daniel"
"Cáceres, Domingo"
"Cáceres, Waldemar"
"Caetano, Omar"
"Caetano, Pablo"
Cafú
"Calabria, Ángel"
"Calistro, Ernesto"
"Callejas, Cristian (a prueba)"
Calzani
"Camacho, Aniceto"
"Camacho, Ceferino"
"Camacho, José"
"Camaití, Adelaido"
"Camarda, Marcos"
"Camargo, Gonzalo"
"Cambra, Arturo"
"Cámera, Leofar"
"Campaña, Martín"
"Campo, Francisco"
"Campolo, Antonio"
"Campolo, Bruno"
"Cámpora, Raúl"
"Canavessi, Adhemar"
"Canavessi, Felipe"
"Cancela, José"
"Cancela, Nelson"
"Canessa, Julio"
"Cañete, Alvaro"
"Canning, Jorge"
"Canobbio, Agustín"
"Canobbio, Fabián"
"Cano, Núber"
"Cantellán, Sergio"
"Canti, Homero"
"Capria, Rúben"
"Capuccini, Miguel"
"Capuccio, Vicente"
"Caraballo, Jorge"
"Carazús, Juan"
Carazzans
"Carbone, Francisco"
"Carbone, Luis"
"Carbone, Oscar"
"Carbone, Pedro"
"Cardaccio, Jorge"
"Cardoso, Pedro"
"Cardozo, Ángel"
"Cardozo, Diego"
"Cardozo, Iris"
"Cardozo, Leonardo"
"Cardozo, Thiago"
"Carini, Fabián"
Carracedo
"Carrasco, Juan Ramón"
Carreiro
"Carreño, Fernando"
"Carrera, Enrique Raúl"
"Carrera, Paul Fernando"
Carreras
"Carreras, Diego"
"Carreras, Rodolfo"
"Carrizo, Federico"
"Carrizo, Felipe"
"Cartés, Luis Iván"
"Casal, Pedro"
"Casamán, Diego"
"Casanova, Jorge"
"Casco, Darwin"
Casenave
"Cassalino, Julio"
"Cassán, Fabio"
"Castelucci, Nelson"
"Castilla, Eduardo"
"Castillo, Byron"
"Castillo, Gary"
"Castillo, Juan"
"Castillo, Miller"
"Castrillón, Gustavo"
Castro
"Castro, Braulio"
"Castro, Carlos"
"Castro, Gonzalo"
"Castro, Héctor (refuerzo de Lito)"
"Castro, Hugo"
"Castronovo, Raúl"
"Castro, Pablo"
"Castro, Ramón"
"Castro, Venancio"
"Castro, William"
"Catalá, Mario"
"Catáneo, Luis"
"Cavali, Juan"
"Cavallero, Daniel"
"Cavallero, Pablo"
"Cavallini, Lucas"
"Cazenave, Héctor"
"Cazulo, Jorge"
"Cedrés, Gabriel"
"Cenizzo, Manuel"
"Centurión, Javier"
"Centurión, Mauricio"
"Ceppelini, Pablo"
"Cerón, Juan Silva"
"Cerqueiro, Néstor"
"Cerruti, Néstor"
"Cesano, Luis"
"Césaro, Fabián"
"Ceschi, Lorenzo"
"Chagas, Nil"
"Chaia, Alfredo"
"Chanes, Galileo"
"Chanes, Jorge"
"Changa Bass, Simón"
"Chans, Jesús"
"Charletto, Carmelo"
"Charlón, Ricardo"
Charquero
"Chater, Percy"
"Cháves, Carlos"
"Cherro, Teodoro"
"Chery, Roberto"
"Chessio, Jorge"
"Chiessa, Enrique"
"Chilavert, José Luis"
"Chilavert, Marciano (a prueba)"
"Chirimini, Óscar"
"Ciappessoni, Diego"
"Cilaurrén, Leonardo"
"Ciz, Diego"
"Clark, Andrews"
"Clark, J."
"Clavarés, Walter"
"Clavero, Sergio"
"Clavijo, Dámaso"
"Clavijo, Rodolfo"
"Clulow, Jorge"
"Cluzet, Osvaldo"
"Cocchinello, Rúben"
"Coelho, Leonardo"
"Coirolo, Martín Federico"
"Collares, Luis"
"Collazo, Héber"
"Colombo, Guillermo"
"Colo, Octavio"
"Colturi, José Pedro"
"Conceição, Ronaldo"
"Conde, Carlos"
"Consani, Augusto"
"Constantino, Raul"
"Constanzo, José"
Contreras
"Corbo, Rúben"
"Corbo, Walter"
"Cor, Mario"
"Cornú, Ernesto"
"Correa, Arcy"
"Correa, Bruno Martín"
"Correa, Euler"
"Correa, Fernando"
"Correa, Gabriel"
"Correa, Héctor"
"Correa, Martín"
"Correa, Naurelino"
"Correa, Pablo"
"Correa Rodríguez, Alejandro"
"Cortés, Brayan"
"Cortés, Julio César"
"Corujo, Mathías"
"Costa, Damián"
"Costa, Tomás"
"Costello, Fabián"
Costes
"Cottiga, Darío"
"Couture, Lorenzo"
"Couture, Sadi"
"Coyant, Juan"
"Cozzolino, Mario"
"Craven, Horacio"
"Crescio, Júpiter"
"Cristóforo, Sebastián"
C. Rizzo
"Crocker, Ernest"
"Crossley, Leonard"
"Cruche, Ubaldo"
"Cruz, Alejo"
"Cruz, José Eduardo"
"Cruz, José Ramón"
"Cruz, Óscar"
"Cuadra, Eliseo"
"Cuayatto, Ricardo"
"Cubilla, Luis"
"Cubilla, Pedro"
"Cubilla, Ricardo"
"Cubilla, Rodrigo"
"Cuevas, Albérico"
"Cupla, Luis"
"Curbelo, Raúl"
"Curto, Vicente"
"Custodio, José Pedro"
"Da Costa, Jhonny"
"Da Costa, Jorge"
"Da Cunha, Mario"
"Dagosto, Demis"
"Dagosto, José"
"Daguer, Julio"
"Dall' Orto, Julio"
"Dalto, Gustavo"
"Da Luz, Rubí"
"Darias, Eduardo"
"Da Rosa, Juan Carlos"
"Da Rosa, Walter"
"Da Silva, Edison"
"Da Silva, Eduardo"
"Da Silva, Esteban"
"Da Silva, Francisco"
"Da Silva, Gustavo"
"Da Silveira, Agustín"
"Davenport, Arthur William"
"David, A."
"Davie, Arturo"
"Davies, Guillermo"
"Davies, Ricardo"
"Davies, Thomas"
"Dávila, Agustín"
"Dávila, Rúben"
"Davoine, Mirto"
"Davoine, Walter"
"Dawson, Kevin"
"Deagustini, Luis"
"De Agustini, Luis"
"Deagustini, Rodolfo"
"de Amores, Guillermo"
"De Biase, J."
"De Britto, Hebert"
"de Cicco, A."
"Decurnex, Ernest"
"De Jesús, Juan Ignacio"
"Delacroix, Augusto"
"Del Capellán, Eduardo"
"De León, Eugenio Raúl"
"de León, Heriberto"
"Delfino, Sergio"
"Delgado, Javier"
"Delgado, Juan"
"Del Horno, Noé"
"De Lima, Juan Carlos"
"Dell' Avo, Elías"
"Delle Ducca, Raúl"
"Delorte, Alejandro"
"De los Ríos, Ricardo"
De los Santos
"de los Santos, Erik"
"de los Santos, Gonzalo"
"De los Santos, Héctor"
"De los Santos, José Enrique"
"De los Santos, Marcelo Enrique"
"De Los Santos, Matías"
"De los Santos, Tulio"
"De Lucca, Antonio"
"Dely Valdés, Armando"
"Demarco, Héctor"
"De María, Eduardo"
Dembridge
"Denegri, Sebastián"
"de Ritis, Mathías"
"Desham, Peter"
"Desiderio, Pascual"
"De Simone, Dante"
"De Simone, Gustavo"
"De Souza, Eladio"
"De Souza, Marcelo"
"Devicenzi, Mario"
"Días, Milton"
"Díaz, Alexander"
"Díaz, Amaral"
"Díaz, Carlos Alejandro"
"Díaz, Carlos Richard"
"Díaz, Gonzalo"
"Díaz, Guillermo"
"Díaz, Leandro"
"Díaz, Luis"
"Díaz, Nelson"
"Díaz, Oscar"
"Díaz, Santiago"
"Díaz, Washington"
"Di Bartolomeo, Daniel"
"Dibble, Nicolás"
"Dibello, Pascual"
"Di Martino, Doming"
"Dimitrio, Antonio"
"Diogo, Carlos"
"Diogo, Víctor Hugo"
"Di Pascua, Claudio"
Diroza
"Dittman, Gustavo"
"Domingo, Nicolás"
"Domínguez, Alfonso"
"Domínguez, Eliseo"
"Domínguez, Rijar"
"Donapetri, Héctor"
"Doorn, Armand (a prueba)"
"Dorado, Pablo"
"Dorta, Diego"
"Dos Santos, Rúben"
"Duarte, Atahide"
"Duarte, Juan José"
"Duarte, Luis"
"Dumpiérrez, Sergio"
"Dunbar, Angus"
"Durán, Uribe"
"Dutra, Nélson"
"Dutruel, Roberto"
"Echinoppe, Pastor"
"Eguía, Dionisio"
"Eirín, Horacio"
"Eizaga, Wilfredo"
"Elduayen, Federico"
"Elena, Alberto"
"Elena, Miguel"
"Elizalde, Edgar"
"Elliot, Gonzalo"
"Emanuelle, Diego"
"Encina, Marcos"
"Enciso, Gerónimo"
"Enrico, Jorge"
"Enríquez, Daniel"
"Erico, Adolfo"
"Errea, Néstor"
"Escalante, Roberto"
"Espinosa, Claudio"
"Espinosa, Sagunto"
"Estavillo, Vicente"
"Estéffani, Domingo"
"Estívez, Cirilo"
"Estoyanoff, Fabián"
"Etchechury, Claudio"
"Etchechury, Wilmar"
"Etchegoyen, José"
Etcheverry
"Etcheverry, Juan"
"Evaristo, Alberto"
"Fabre, Faustino"
"Facello, Julio"
"Fadeuille, Fernando"
"Faina, Ubaldo"
"Fajardo, Fernando"
"Falcón, Antonio"
"Falero, Miguel"
"Falero, Nicolás"
"Faral, Gustavo"
Faresse
"Farías, Dalmiro"
"Farías, Jefferson"
"Fausto, Bernabé"
"Fay, Albert"
"Fedullo, Francisco"
Feitiço
Fernández
"Fernández, Adrián"
"Fernández, Axel"
"Fernández Carranza, Carlos"
"Fernández, Diego"
"Fernández, Emiliano"
"Fernández, Faustino"
"Fernández, Gabriel"
"Fernández, Gonzalo"
"Fernández, Gustavo"
"Fernández, Homero"
"Fernández, Hugo"
"Fernández, Juan José"
"Fernández, Julio"
"Fernández, Leonardo"
"Fernández, Lorenzo"
"Fernández, Luciano"
"Fernández, Luis"
"Fernández, Mauro"
"Fernández, Néstor"
"Fernández, Roque"
"Fernández, Victor"
"Ferrando, Héctor"
"Ferrando, Luis"
"Ferraz, Amilcar"
Ferreira
"Ferreira, Germán"
"Ferreira, Joaquín"
"Ferreira, Matías"
"Ferreira, Paolo"
"Ferreira, Renato (a prueba)"
"Ferrero, Alberto"
"Ferrero, Guillermo"
"Ferrés, Juan Manuel"
"Ferreyra, Gustavo"
"Ferro, Óscar"
"Fierro, Elbio"
"Fierro, Luis"
"Fierro, Vito"
Figueroa
"Figueroa, Elías Ricardo"
"Figueroa, Roberto"
"Filomeno, Jorge"
"Filus, Miguel"
"Finamore, Horacio"
Finozzi
"Fiorelli, Anselmo"
"Fiorelli, Raúl"
"Flamini, Enrique"
"Fleitas, Jorge"
Flores
"Flores, Claudio"
"Flores, Darío"
"Flores, Dilan"
"Flores, Eduardo"
"Flores, Nelson"
"Fones, Francisco"
"Fonseca, Manuel"
"Fonseca, Roberto"
"Fontora, Luis Alberto"
Forlán
"Forlán, Diego"
"Forlán, Pablo"
"Forlán, Richard"
"Formiliano, Fabricio"
"Fossati, Jorge"
"Fraga, Arturo"
"Franco, Euclides"
"Franco, José María"
"Franco, Julio"
"Franco, Nicolás"
"Franco, Raúl"
"Franqui, José"
"Frascarelli, Damián"
Fredda
"Freire, Eduardo"
"Freire, Feliciano"
"Freire, Fredy"
"Freire, José María"
"Freitas, Adriano"
"Freitas, Gonzalo"
"Freitas, J."
"Freitas, Nicolás"
"Frioni, Francisco"
"Frontán, Bosco"
"Funes, J."
"Furia, Alejandro"
"Gaglianone, Pablo"
"Gaitán, Luis"
"Gaitán, Nicolás"
"Galán, Sebastián"
"Galeano, Braulio"
"Galilea, Norberto"
"Gallegos, Sebastián"
"Galli, Jhony"
"Gallo, Adhemar"
"Gallo, Víctor"
"Galván, Américo"
"Galvente, S."
"Gambetta, José"
"Gambetta, Martín"
"Gamon, H."
"Garabedian, Martín"
"García, Carlos"
"García, Damián"
"García, Diego"
"García, Eduardo"
"García, Félix"
"García, Franco"
"García, Gonzalo"
"García, Héctor"
"García, Jorge"
"García, José Roberto"
"García, Juan"
"García, Juan Carlos"
"García, Juan José"
"García, Julio (a prueba)"
"García, Leonardo"
"García, Luis"
"García, Martín"
"García, Nicolás"
"García, Pablo"
"García, Serafín"
"García, Voltaire"
"Gardera, A."
"Gargano, Walter"
"Gargiullo, Nelson"
"Garibone, Victorio"
"Garisto, Luis"
"Garrasini, Elbio"
"Garrido, José"
"Gauna, Héctor"
"Gelpi, Domingo"
"Gelpi, Leandro"
"Generali, Alvaro"
"Gentile, Domingo"
"Gentini, Juan Carlos"
"Georgieff, Basilio"
"Geremías, Juan"
"Gestido, Álvaro"
"Gesuele, Juan"
"Ghiggia, Alcides"
"Giachini, Roberto"
"Giacomazzi, Guillermo"
"Gianoli, Martín"
Gil
"Giliberti, Otto"
Gillespie
"Gil, Roberto"
"Giménez, Ary"
"Giménez, Juan"
"Gini, J."
"Giribaldi, Plinio"
"Giúdice, Carlos"
Godoy
"Godoy, Daniel"
"Göebel, Osmair (a prueba)"
Gomensoro
"Gómez, Alcides"
"Gómez, Ernesto"
"Gómez, Freddy"
"Gómez, Gerónimo"
"Gómez, José"
"Gómez, José Alberto"
"Gómez, Manuel"
"Gómez, Mauricio"
"Gómez, Maximiliano"
"Gonçálves, Jorge"
"Gonçálves, Néstor"
Goncálvez
"Gonnard, Aurelio"
"González, Agustín"
"González, Alberto"
"González, Alejandro"
"González Alonso, Carlos"
"González, Andrée"
"González, Ángel"
"González, Carlos"
"González, Cristian"
"González, Edgardo"
"González, Edison"
"González, Fernando"
"González, Franco"
"González, Giovanni"
"González, Guillermo"
"González, Heber"
"González, Jorge Ignacio"
"González, Juan Carlos"
"González, Juan José"
"González, Julio"
"González, Lino"
"González, Luciano"
"González, M."
"González, Manuel"
"González, Mario"
"González, Matías"
"González, Pío Tabaré"
"González Plada, Juan Carlos"
"González, Roberto"
"González, Tomás"
"González, Uberfil"
"González, Vicente"
"Gonzalvo, Roberto"
Gooms
"Gorni, Atilio"
"Gottbiels, Tomás"
"Gotuzzo, Raúl"
"Goyeneche, Juan"
"Gracien, Marc"
"Gradín, Isabelino"
"Graneri, Lucas"
"Granja, Alfredo"
Granoche
"Griecco, José María"
"Grillo, Daniel"
"Gringa, Carlos"
"Grossmüller, Carlos"
"Gualdoni, Héctor"
"Guardado, Juan"
"Guardado, Juan Pablo"
"Guarnieri, Rogelio"
Guellini
"Guelmi, Pascual"
"Guelmo, Luis"
"Guelmo, Roberto"
"Guerra, Claudio"
"Guerrero, Ivan"
"Guerrini, Ernesto"
"Guevgeozián, Mauro"
"Guglielmone, Walter"
"Guichón, Facundo"
"Guido, Ricardo"
"Guisolfo, Braulio"
"Gularte, Emanuel"
"Gunino, Adrián"
"Guruceaga, Gastón"
"Gutiérrez, Agustín"
"Gutiérrez, Álvaro"
"Gutiérrez, Carlos"
"Gutiérrez, Julián"
"Gutiérrez, Luis"
"Gutiérrez, Nelson"
"Gutiérrez, Orlando"
"Guzmán, Sebastián"
"Haeberli, Conrado"
"Harley, John"
"Hein, Alberto"
"Herfield, Alfred"
"Hernández, Abel"
"Hernández, Daniel"
"Hernández, Ernesto"
"Hernández, Lucas"
"Hernández, Nelson"
"Hernández, Walter"
"Hernández, Washington"
Herrera
"Herrera, Hamilton"
"Herrera, José"
"Herrera, Nahuel"
"Herrera, Robert"
"Hidalgo, Baldomero"
"Higuimaran, Cristian"
"Hoffmann, Silvio"
"Hogge, Adam"
"Hogge, Juan"
"Hohberg, Juan Eduardo"
"Hohl, Arturo"
"Hohl, Sebastián"
"Homenchenko, Santiago"
Hooper
"Hopkings, George"
Huelmo
"Hugo, Enrique"
"Hunt, A."
"Hurtado, Paolo"
"Hurtado, Víctor"
"Ibáñez, Walter"
"Ibarra, Lucas"
"Ibero, Miguel"
"Icardi, Oliver"
Icasuriaga
"Ifrán, Diego"
"Insargaray, Felipe"
"Iraola, Juan"
"Iriarte, José María"
"Irigaray, Ramón"
"Irigoin, Bruno"
"Irisarri, Ángel"
"Isnardi, Julio"
"Ithurralde, Ignacio"
"Ivaldi, C."
"Izaguirre, Junior"
"Izquierdo, Álvaro"
"Izquierdo, Juan"
"Jackson, Francis"
"Jacques, Carlos"
"Jaime, Luis"
Jair
Jakob
"Jara, Esteban"
"Jaurreche, Juan Ramón"
"Jerjes, Alberto"
Jerques
"Jiménez, Daniel"
"Jiménez, Julio César"
"Jones, Alfredo"
"Jones, William"
"Joya, Juan"
"Juárez, Sebastián"
"Jurado, Carlos"
"Kagelmacher, Gary"
"Kanan, Islam"
"Kanga, Martín (a prueba)"
"Kénez, Wilson"
"Keosseián, Manuel"
"Kerberg, Carlos"
"Kieffer, Alfredo"
"Kolawole, Olayinka"
"Koreim, Josef"
"Labanca, Juan"
"Labastié, Néstor"
"Labella, Arnoldo"
"Lacerda, Nélson"
"Laens, Federico"
"Laferrara, Ángel"
"Lago, Alejandro"
"Lago, Pedro"
"Lagos, Wilson"
"Laguzzi, Juan"
"Laidlaw, Luis"
"Laino, Guido"
"Lallana, Juan Carlos"
"Lamas, Alfredo"
"Lamas, José (a prueba)"
"Lamberck, José Luis"
"Lamothe, Luis"
"Lancieri, Marcelo"
"Langone, Aldo"
"La Palma, Walter"
"La Paz, Jorge"
"La Paz, Luis Roberto"
"Laquintana, Ignacio"
"Lariccia, Miguel Ángel"
"Larraura, Luis"
"Larrosa, Darío"
"Larrosa, Gerardo"
"Larrosa, Marcelo"
"Lasalvia, Jorge"
"Latallada, Édison"
"Latallada, Ruben"
"Latorre, Gonzalo"
"Latrónico, Gustavo"
"Lauria, Camilo"
"Lauri, Miguel Ángel"
"Laurino, Luis"
"Lavié, Miguel"
"Laxalde, Luis"
"Lazarte, Rodolfo"
"Lazcano, Claudio"
"Lazcano, J."
"Leal, Jesús"
"Leal, Michael"
"Leal, Sergio"
"Ledesma, Ernesto"
"Legnani, Maurizio"
"Legnazzi, Juan"
"Legorburo, Víctor"
"Leguizamón, Fernando"
"Leguizamón, Mario"
"Leicht, Óscar"
"Leiva, Juan Carlos"
"Lema, Cristian"
"Lema, Raúl"
"Lemes, Gonzalo"
Lena
