ID,Nombre,Goles,Foto,DefaultFoto
61,John Harley,6,c:\xampp\htdocs\Libros\proyect_1891\src\..\data\images\61.jpg,False
62,Juan Laguzzi,0,c:\xampp\htdocs\Libros\proyect_1891\src\..\data\images\62.jpg,False
63,Víctor Legorburo,9,c:\xampp\htdocs\Libros\proyect_1891\src\..\data\images\63.jpg,False
64,Carlos Scarone,42,c:\xampp\htdocs\Libros\proyect_1891\src\..\data\images\64.jpg,False
65,Guillermo Manito,6,c:\xampp\htdocs\Libros\proyect_1891\src\..\data\images\65.jpg,False
66,Julio López,1,c:\xampp\htdocs\Libros\proyect_1891\src\..\data\images\66.jpg,True
67,Carlos Broggia,0,c:\xampp\htdocs\Libros\proyect_1891\src\..\data\images\67.jpg,True
68,Pedro Casal,1,c:\xampp\htdocs\Libros\proyect_1891\src\..\data\images\68.jpg,True
69,Luis Quaglia,34,c:\xampp\htdocs\Libros\proyect_1891\src\..\data\images\69.jpg,False
70,Carlos Ronzoni,0,c:\xampp\htdocs\Libros\proyect_1891\src\..\data\images\70.jpg,False
71,Julio Facello,0,c:\xampp\htdocs\Libros\proyect_1891\src\..\data\images\71.jpg,True
72,Ernesto Andrés Raffo,0,c:\xampp\htdocs\Libros\proyect_1891\src\..\data\images\72.jpg,False
73,Sábato Ángel Romano,12,c:\xampp\htdocs\Libros\proyect_1891\src\..\data\images\73.jpg,False
74,Luis Solans,0,c:\xampp\htdocs\Libros\proyect_1891\src\..\data\images\74.jpg,False
75,Máximo Plazaola,0,c:\xampp\htdocs\Libros\proyect_1891\src\..\data\images\75.jpg,True
76,Antonio Campolo,64,c:\xampp\htdocs\Libros\proyect_1891\src\..\data\images\76.jpg,False
77,Roberto Chery,0,c:\xampp\htdocs\Libros\proyect_1891\src\..\data\images\77.jpg,False
78,Ernesto Cornú,0,c:\xampp\htdocs\Libros\proyect_1891\src\..\data\images\78.jpg,True
79,Juan Roque Gesuele,9,c:\xampp\htdocs\Libros\proyect_1891\src\..\data\images\79.jpg,False
80,Isabelino Gradín,73,c:\xampp\htdocs\Libros\proyect_1891\src\..\data\images\80.jpg,False
81,Alfredo Granja,3,c:\xampp\htdocs\Libros\proyect_1891\src\..\data\images\81.jpg,False
82,Luis Melgar,0,c:\xampp\htdocs\Libros\proyect_1891\src\..\data\images\82.jpg,True
83,Jorge Pacheco,0,c:\xampp\htdocs\Libros\proyect_1891\src\..\data\images\83.jpg,False
84,José Pérez,65,c:\xampp\htdocs\Libros\proyect_1891\src\..\data\images\84.jpg,False
85,Pedro Rímolo,0,c:\xampp\htdocs\Libros\proyect_1891\src\..\data\images\85.jpg,True
86,Domingo Bernardo Savio,1,c:\xampp\htdocs\Libros\proyect_1891\src\..\data\images\86.jpg,False
87,Manuel Varela,4,c:\xampp\htdocs\Libros\proyect_1891\src\..\data\images\87.jpg,False
88,Mario Viola,5,c:\xampp\htdocs\Libros\proyect_1891\src\..\data\images\88.jpg,True
89,Antonio Bartolazzo,4,c:\xampp\htdocs\Libros\proyect_1891\src\..\data\images\89.jpg,True
90,Augusto Delacroix,0,c:\xampp\htdocs\Libros\proyect_1891\src\..\data\images\90.jpg,True
91,Alberto Romeo Elena,1,c:\xampp\htdocs\Libros\proyect_1891\src\..\data\images\91.jpg,True
92,José Alfredo Lista,0,c:\xampp\htdocs\Libros\proyect_1891\src\..\data\images\92.jpg,True
93,Julio Mallo,0,c:\xampp\htdocs\Libros\proyect_1891\src\..\data\images\93.jpg,True
94,Armando Artigas,116,c:\xampp\htdocs\Libros\proyect_1891\src\..\data\images\94.jpg,False
95,José Pedro Benincasa,1,c:\xampp\htdocs\Libros\proyect_1891\src\..\data\images\95.jpg,False
96,Vicente Curto,1,c:\xampp\htdocs\Libros\proyect_1891\src\..\data\images\96.jpg,True
97,Juan Delgado,4,c:\xampp\htdocs\Libros\proyect_1891\src\..\data\images\97.jpg,False
98,Guillermo Ángel Ferrero,9,c:\xampp\htdocs\Libros\proyect_1891\src\..\data\images\98.jpg,False
99,Carlos Leyenda,0,c:\xampp\htdocs\Libros\proyect_1891\src\..\data\images\99.jpg,True
100,Carlos Antonio Márquez Castro,0,c:\xampp\htdocs\Libros\proyect_1891\src\..\data\images\100.jpg,True
101,Juan Carlos Reggiardo,0,c:\xampp\htdocs\Libros\proyect_1891\src\..\data\images\101.jpg,True
102,Pascual Ruotta,26,c:\xampp\htdocs\Libros\proyect_1891\src\..\data\images\102.jpg,False
103,Juan Manuel Valverde,4,c:\xampp\htdocs\Libros\proyect_1891\src\..\data\images\103.jpg,True
104,Juan Carazús,0,c:\xampp\htdocs\Libros\proyect_1891\src\..\data\images\104.jpg,True
105,Américo Luchini,1,c:\xampp\htdocs\Libros\proyect_1891\src\..\data\images\105.jpg,True
106,Juan Carlos Nappias,1,c:\xampp\htdocs\Libros\proyect_1891\src\..\data\images\106.jpg,True
107,Miguel Bernardo Rognoni,0,c:\xampp\htdocs\Libros\proyect_1891\src\..\data\images\107.jpg,True
108,Andrés Banchesse,0,c:\xampp\htdocs\Libros\proyect_1891\src\..\data\images\108.jpg,True
109,Raul Constantino,0,c:\xampp\htdocs\Libros\proyect_1891\src\..\data\images\109.jpg,True
110,Jesús Chans,0,c:\xampp\htdocs\Libros\proyect_1891\src\..\data\images\110.jpg,True
111,Juan Pedro Arremón,60,c:\xampp\htdocs\Libros\proyect_1891\src\..\data\images\111.jpg,False
112,Pedro Juan Balparda,0,c:\xampp\htdocs\Libros\proyect_1891\src\..\data\images\112.jpg,False
113,Alberto Bonini,1,c:\xampp\htdocs\Libros\proyect_1891\src\..\data\images\113.jpg,False
114,Juan Legnazzi,0,c:\xampp\htdocs\Libros\proyect_1891\src\..\data\images\114.jpg,False
115,Carlos Mongelar,18,c:\xampp\htdocs\Libros\proyect_1891\src\..\data\images\115.jpg,True
116,Juan Antonio Olivera,9,c:\xampp\htdocs\Libros\proyect_1891\src\..\data\images\116.jpg,True
117,Conrado Donaldo Ross,4,c:\xampp\htdocs\Libros\proyect_1891\src\..\data\images\117.jpg,True
118,José Suárez,0,c:\xampp\htdocs\Libros\proyect_1891\src\..\data\images\118.jpg,True
119,Pablo Terevinto,252,c:\xampp\htdocs\Libros\proyect_1891\src\..\data\images\119.jpg,False
120,Carlos Amatto Rinaldo,12,c:\xampp\htdocs\Libros\proyect_1891\src\..\data\images\120.jpg,False
121,Emilio Cabrera,0,c:\xampp\htdocs\Libros\proyect_1891\src\..\data\images\121.jpg,False
122,Pascual Guelmi,7,c:\xampp\htdocs\Libros\proyect_1891\src\..\data\images\122.jpg,True
123,Alberto Jerjes,0,c:\xampp\htdocs\Libros\proyect_1891\src\..\data\images\123.jpg,True
124,Juan Peralta,11,c:\xampp\htdocs\Libros\proyect_1891\src\..\data\images\124.jpg,True
127,Antonio Aguerre,0,c:\xampp\htdocs\Libros\proyect_1891\src\..\data\images\127.jpg,False
128,Arturo Fraga,5,c:\xampp\htdocs\Libros\proyect_1891\src\..\data\images\128.jpg,True
129,Pascual Paola,30,c:\xampp\htdocs\Libros\proyect_1891\src\..\data\images\129.jpg,True
130,Ladislao Pérez,39,c:\xampp\htdocs\Libros\proyect_1891\src\..\data\images\130.jpg,False
131,José Posse,1,c:\xampp\htdocs\Libros\proyect_1891\src\..\data\images\131.jpg,True
132,Andrés Ravera,0,c:\xampp\htdocs\Libros\proyect_1891\src\..\data\images\132.jpg,False
133,Andrés Rodríguez,0,c:\xampp\htdocs\Libros\proyect_1891\src\..\data\images\133.jpg,True
134,Feliciano Romero,0,c:\xampp\htdocs\Libros\proyect_1891\src\..\data\images\134.jpg,True
135,Antonio Sacco,161,c:\xampp\htdocs\Libros\proyect_1891\src\..\data\images\135.jpg,False
