ID,Nombre,Goles
227,Luis Pedro Alberti,0
228,Juan Luis Bottyan,0
229,Ubaldo Cruche,24
230,Feliciano Freire,14
231,Plinio Garibaldi,0
232,Sebastián Guzmán,20
233,Héctor Mario Magliano,14
234,Francisco Palermo,13
235,Darío Oscar Piñero,0
236,Agustín Prado,0
237,César Rivero,0
238,Adolfo Rodríguez Barreto,1
239,Roberto Gregorio Scarone,0
240,Aníbal Traverso,2
241,Joaquín Bermúdez,0
242,Leonardo Jesús Cilaurrén Uriarte,2
243,Ricardo Charlón,0
244,Domingo Gelpi,73
245,Aurelio Gonnard,24
246,Agenor Muñiz,0
247,Antonio Ángel Núñez,9
248,José María Ortíz,14
249,Lorenzo Pino,54
250,José Antonio Vázquez,100
251,Raúl Florio Ameal,2
252,Óscar Chirimini Rubilar,51
253,Julián Gutiérrez,7
254,Ángel Ricardo Laferrara,25
255,Rodolfo Domingo Lazarte,1
256,José María Ortiz,31
257,Juan Tejera,8
258,Luis Alberto Vecino,0
259,Pedro Washington Vigorito,10
260,Elmo Bovio,15
261,Leofar Cámera,3
262,Homero Canti,3
263,José Pedro Colturi,2
264,Washington Díaz,18
265,Sergio Dumpiérrez,0
266,Enrique Flamini,3
267,Anito Do Carmo Lopes,15
268,Mario Lorenzo,2
269,Máximo Olivera,1
270,Santiago Oubiñas,1
271,Rubens Perdomo,2
272,Flavio Pereyra Nattero,0
273,Walter Pereyra,0
274,Silvestre Pisa,3
275,Sixto Valentín Possamai,0
276,João Bautista Sequeira Lima,0
277,Manuel Ortiz,0
278,Juan Pablo Pérez,2
279,Luis Prais,1
280,Adhemar Romero,0
281,Juan Carlos González,5
282,Heriberto Olivares,2
283,Manuel Sanguinetti,0
284,Julio César Britos Vázquez,41
285,Carlos Gutiérrez,8
286,Gerardo Spósito,2
287,Hugo Villamide,24
288,Esteban Da Silva,1
289,Nicolás Falero,43
290,Manuel Vidal,9
291,Darwin Casco,0
292,Noé Del Horno,0
293,José Etchegoyen,4
294,Enrique Hugo,0
295,Washington Ortuño,9
296,Juan Pedro Riephoff,14
297,Isabelino Ismael Rodríguez,0
298,Yeso Amalfi,3
300,César Manuel Rodríguez,1
301,Mirto Lenin Davoine,1
302,Carlos Luis Borges,82
303,Ismael Cabrera,2
304,Dante De Simone,2
305,Américo Natalio Galván,50
306,Omar Medina,3
307,Luis Alberto Miramontes,0
308,Gumersindo Morales,0
309,Marcelo Pereyra,0
310,Manuel Verdes,0
311,Casimiro Yankowiecz,0
313,Joel Alberto Romero,0
314,Héctor Mario Uzal,0
315,Bernabé Fausto,0
316,Juan Manuel Romay,70
317,Luis Bayón,3
318,Felipe Carrizo,1
319,Antonio Dimitrio,0
320,Roberto Guelmo,0
321,Ernesto Sebastián Ledesma,16
322,Teófilo Martínez,3
323,Pedro Nardelli,4
324,Fabiano Pereyra,2
325,Fermín Sosa,5
326,Osvaldo César Balseiro Bessonart,18
327,Horacio Eirín,1
328,Carlos Esteban González,6
329,Ángel Omar Miranda,6
330,Donald Peláez,8
331,Rodolfo Pippo,30
332,Roberto Francisco Vanoli,5
333,Roberto Francisco Gonzalvo,9
334,Teodoro Antonio Cherro,2
335,Roque Fernández,0
336,Juan Carlos González Plada,9
337,José María Milán,17
338,Carlos Rosas Riolfo,0
339,Jorge José Arteaga,1
341,Juan Carlos García,3
342,Juan José García,11
343,Luis Conrado Borghini,0
344,Roberto José Saba,0
345,Mauricio Aguirre,0
346,Milton Alves Da Silva,5
347,Juan Burgueño Pereira,2
348,Ubaldo Faina,0
349,Luis María Maidana,0
350,William Rúben Martínez,12
351,Elio Rubén Montaño,68
352,Samuel Orellano,0
353,Julio César Toja,9
354,Darwin Varela,2
355,Elías Barrios,1
356,Óscar Leicht,20
357,Fernando Varela,16
358,Nicola Adamo,0
359,Julio César Araújo,5
360,Carmelo Charletto,0
361,Walter Davoine,0
362,Eladio De Souza,0
363,Néstor Gonçálves,12
364,Carlos Meyer,0
365,Nelson Alfredo Monzón Sisurqui,3
366,Ramón Peña,1
367,Nery Quinteros,0
368,Walter Hugo Aguerre Eboli,8
369,Rodger Milton Bernardico,0
