ID,Nombre,Goles
1771,Néstor Fabián Canobbio Bentaberry,48
1772,Sergio William Leal,12
1773,Tomás Walter Pereira,0
1774,Leonel Eduardo Pilipauskas,4
1775,Álvaro Pintos,13
1776,Edgardo Sebastián Álvarez,5
1777,Joseph Akongo,6
1778,Jorge Daniel Casanova Curbelo,3
1779,Fernando Jorge Fajardo,1
1780,Pablo Daniel Gaglianone,6
1781,Daniel Ángel Jiménez,36
1782,Marcelo Milano,0
1783,Martín Sebastián Rivas,0
1784,Esteban Gabriel Ávalos Stumpfs,1
1785,Matheus Simonete Bressanelli,1
1786,Mathías Rodríguez,0
1787,Edgar Anthony Álvarez Reyes,0
1788,Mariano Adrián Bogliacino Hernández,1
1789,José Luis Félix Chilavert González,4
1790,Guillermo Díaz,0
1791,Diego Javier Emanuelle,1
1792,Sebastián Juárez,0
1793,Eduardo Alejandro Lago,0
1794,Luiz Fernando Nunes,5
1795,Ignacio Quirino,0
1796,Bryan Ignacio Winsker,0
1797,Danilo Elvis Turcios,0
1798,Álvaro Darío Alonso Llanes,1
1799,Adrián Apellaniz García,7
1800,Alejandro Adrián Correa Rodríguez,0
1801,Carlos Andrés Diogo,4
1802,Cristian Mario González,0
1803,Williams Daniel Hernández,0
1804,Jean Jacques Pierre,3
1805,Gonzalo Pizzichillo,7
1806,Alejandro Reyes,0
1807,Jonathan Javier Rodríguez,23
1808,Alejandro Silva,0
1809,Washington Omar Aguerre Lima,0
1810,Pablo Martín Lima,0
1811,Mario Iván Guerrero Ramírez,1
1812,Gerardo Larrosa Brasesco,0
1813,Jorge Horacio Serna Castañeda,5
1814,Jorge Sebastián Varela,0
1815,Ronald Andrés Ramírez,1
1816,Marcos Marcelo Tejera,7
1817,Pablo Oscar Cavallero Rodríguez,0
1818,Jonathan Píriz,0
1819,Danilo Asconeguy Ruiz,2
1820,Richard Darío Núñez,9
1821,Maximiliano Lombardi,2
1822,Nicolás Mario Domingo,0
1823,Santiago Solari,0
1824,Cristian Mejía,2
1825,João Pedro Geraldinho Dos Santos,7
1826,Facundo Jeremías Guichón,2
1827,Sebastián Rosano,3
1828,Nicolás Andrés Amodio Alanis,0
1829,Rodrigo Nicanor Mora,12
1830,Marcelo Silva,2
1831,Maximiliano Daniel Pérez,6
1832,Héctor Fabián Carini Hernández,0
1833,Mauro Guevgeozián,0
1834,Santiago Silva,9
1835,Juan Guillermo Castillo Iriart,0
1836,Paolo Hurtado,0
1837,Javier Toledo,2
1838,Augusto Medina,0
1839,Maximiliano Gómez,0
1840,Adrián Gunino,0
1841,Édison Eliazer Torres,1
1842,Gastón Poncet,1
1843,Federico Gastón Carrizo,1
1844,Brian Mansilla,3
1845,Facundo Bonifazi Castro,0
1846,Hernán Menosse,4
1847,Bruno Montelongo,1
1848,Jonathan López,0
1849,Héber Mathias Collazo García,0
1850,Santiago Mastrángelo,0
1851,Álvaro Márquez,0
1852,Abel Matías Hernández,15
1854,Luis Ignacio Medina,4
1855,Islam Kanan,0
1856,Fernando Jesús González,0
1857,Guillermo Martín Reyes,0
1858,Marcelo Fabián Méndez,0
1859,Juan Ignacio Silva Cerón,0
1860,Paulo César Pezzolano,0
1861,Nicolás Ignacio Vigneri,24
1862,Audu Mohammed,0
1863,Leonardo Fabio Moreno Cortés,1
1864,Sebastián Galán,0
1865,Arnulfo Valentierra,2
1866,Gonzalo Daniel Lemes,0
1867,Ramiro Washington Bruschi,0
1868,Mauricio Daniel Centurión Himber,0
1869,Omar Heber Pouso,2
1870,Rónald Paolo Montero,4
1871,Juan Manuel Ortiz,3
1872,Rúben Oscar Capria Labiste,6
1873,Silvio Mendes,10
1874,Enzo Ruiz,0
1875,Alberto Martín Acosta Martínez,15
1876,Alejandro Delorte,7
1877,José Pedro Cardoso González,4
1878,Darío Antonio Flores,3
1879,Damián Santana,0
1880,Sebastián Pereyra,0
1881,Rodrigo Martín Cubilla,0
1882,Diego Morena,1
1883,Miguel Angel Lavié,0
1884,Diego Andrés Casamán Ortega,0
1885,Ricardo Möller,0
1886,Darío Vera,0
1887,Fernando Fadeuille,2
1888,Carlos García,0
1889,Walter Fernando Guglielmone,4
1890,Nelson Sebastián Maz,3
1891,Juan Ángel Obelar,0
1892,Elías Ferreira,4
1893,Paolo Jonathan Ferreira Álvez,0
1894,Gustavo Latrónico,0
1895,Matías Damián Alonso Vallejo,0
1896,Junior Izaguirre,0
1897,Roberto Ronald Brown Perea,1
1898,Félix García,0
1899,Eduardo Daniel Mieres,4
1900,Juan José Blanco Dili,0
1901,José Pablo Russo,4
1902,Daniel Horacio Pereira,1
1903,Leonardo Alfredo Ramos,0
1904,Diego Fernando Pérez,2
1905,Hamilton Herrera,0
1906,Daniel Eduardo Baldi Alfonso,0
1907,Gabriel Ramírez,0
1908,Claudio Marcelo Guerra,6
1909,Pablo Gabriel García Pérez,0
1910,Luis Carlos Sánchez,9
1911,Ernesto Mariano Gómez,0
1912,Carlos Gabriel Correa Viana,1
1913,Carlos Gabriel Pérez,0
1914,Waldemar Dumás Cáceres Roldán,6
1915,Ricardo Sergio Soria,2
1916,Ariel Pintos,0
1917,Sergio Blanco,0
1918,Jorge Alberto Peralta,1
1919,Luis Speranza,0
1920,Elgar Alfredo Baeza,0
1921,Alberto Martínez,4
1922,Óscar Joffre Zubía,1
1923,Luis Villalba,25
1924,Alcides Edgardo Bombi,6
1925,Luis Alberto Díaz,5
1926,Raúl Osvaldo Castronovo Zanón,44
1927,Edison Amoroso,5
1929,Julio Luccini,2
1931,Richard Armán,2
1932,Jorge Álvarez,1
1933,Nelson Ruben Moraes,0
1934,Carlos Cayetano Simaldone,15
1935,Albert Fay,0
1936,Jorge Rodríguez Rodríguez,0
1937,Pedro Catalino Pedrucci,6
1938,Marcelo José Fabián Asteggiano Bertolini,1
1939,Fernando Daniel Rosa,1
1940,Euler Selvino Correa,1
1941,Néstor César Blanco Correa,0
1942,Ramón Víctor Castro García,0
1943,Edgardo Martínez,0
1944,Leonardo García,3
1945,Víctor Manuel López,16
1946,Alejandro Mitarian,0
1947,Álvaro Marenco,0
1948,Gonzalo Lizardo Díaz,0
1949,Sergio Recoba,1
1950,Jesús Leal,0
1951,Jairo O'Neill,0
1952,Héctor Tuja,0
1953,Robert Dante Siboldi,0
1954,Washington Leonardo Hernández Tejera,0
1955,Sergio Umpiérrez,0
1956,Carlos Eduardo Vázquez,0
1957,Juan Ramón Carrasco Torres,6
1958,Claudio Dario Biaggio,1
1959,Pablo Alejandro Correa Velázquez,11
1960,Mauricio Joselito Silvera,5
1961,Gustavo Lucas,0
1963,Sergio Rodolfo Santín,3
1964,Washington Alejandro Méndez,1
1965,Javier Centurión,0
1966,William Adrián Castro Rosso,1
1967,Sergio Daniel Martínez,20
1968,Sergio Antonio Panzardo,0
1969,Armando Dely Valdés,3
1970,Roy Antonio Francis Myers,5
1971,Paulo Alves Terresende,15
1972,César Fernando Silvera,14
1973,Adrián Gustavo Paz,24
1974,Gustavo Ferreyra,13
1975,Julio Diego Ciappessoni,0
1976,Carlos Alejandro Díaz,0
1977,Camilo Lauria,1
1978,Jacinto Javier Cabrera López,1
1979,Julio César Rodríguez Secco,2
1980,Daniel Florencio Sánchez Nuñez,0
1981,Arsenio Silvero,1
1982,Matías Omar Pérez,1
1983,Luis María Romero,0
1984,Nicolás Milesi,0
1985,Matías González,0
1986,Luciano Fernández,0
1987,Jhonatan Lima,0
1988,Agustín Alaníz,0
1989,Matías Bentos-Pereira Colombo,0
1990,Pablo López,0
1991,Francisco Ricardo Frioni,0
1992,Juan Enrique Tea,0
1993,João Antonio De Almeida,5
1994,Raimundo Bibiani Orsi,2
1995,Luis María Agustín Rongo,18
1996,Juan Carlos Peri,0
1997,José María Minella,0
1998,Miguel Ángel Lariccia,3
1999,Fabio Juan Cassán,7
2001,Guido Baztarrica,12
2003,Juan José Mónaco,3
2004,Braulio Alberto Galeano,1
2005,Daniel Oscar Melgarejo,2
2006,Rúben Adalberto Bianchini,2
2007,Carlos María Conde Méndez,0
2008,Carlos Hugo Lentino,0
2009,Carlos Julio Cháves,2
2011,Ilija Petkovic,0
2012,Julián Eduardo Bonifacino,0
2013,José Luis Saldaño,1
2014,Washington Olivera Machado,4
2015,Ismael Sabino,3
2017,Daniel Alberto Enríquez,0
2018,Santiago Javier Ostolaza,0
2019,Juan Carlos Cabanillas,0
2020,Tidio Perdomo,0
2021,Sergio Ariel Peluffo,1
2022,Oscar Omar Vignolo,1
2023,Richardson Smith,0
2024,José Alberto Percudani,5
2025,José Adão Fonseca,4
2027,Jorge Luis Cazulo,0
2028,Álvaro Eduardo Gutiérrez,0
2029,Octavio Agustín Colo González,0
2030,Adriano Freitas,0
2031,Gonzalo Daniel Camargo Pintos,0
2032,Kevin Méndez,7
2033,Brian Lozano,1
2034,Yonatthan Rak,2
2035,Billy Vladimir Arce Mina,0
2036,Pedro Milans,3
2037,Hernán Rivero,0
2038,Gastón Vitancurt,0
2039,Gonzalo Latorre,0
2040,Darwin Nicolás Ávila Martínez,0
2041,Yonny Peralta,0
2042,Jhony Galli,0
2044,Santiago Ignacio Bueno Sciutto,0
2045,Nicolás Mezquida,1
2046,Juan San Martín,0
2047,Luis Martín Silva Perdomo,0
2048,Andrés Pereira,0
2049,Alejandro Furia,0
2050,Bruno Olivera,0
2052,Gonzalo Malán,0
2053,Juan Pablo Guardado,2
2054,Bruno Federico Barreto González,0
2055,Daniel Godoy,0
2056,Juan Manuel Ferrés Echavarren,0
2057,Germán Ferreira,0
2058,Mauricio Gómez,0
2059,Miller David Castillo Quiñónez,0
2060,João Neto,0
2061,Diego Fernández,0
2062,Gonzalo Carlos Castro Naime,0
2063,Juan Carlos Coyant,0
2064,Ariel Felipe Bonilla Jaramillo,0
2065,Maurizio Legnani,0
2066,Enzo Barrotti,0
2067,Pablo Pereira,0
2068,Paulo Altez,0
2069,Luis Roberto La Paz,3
2070,Eugenio Raúl De León,0
2071,Donato Araíz,0
2072,Amador Regueiro,8
2073,José Lizthermann,19
2074,Ismaél Montero,0
2075,Jesús Presa,0
2076,José Alberico Bordoli,0
2077,Baldomero Hidalgo,2
2078,Rodolfo Piñeyro,10
2079,Uribe Durán,0
2080,Juan Francisco Maldonado,0
2082,Julio César Pan,1
2083,Venancio Olivera,0
2084,Atahide Duarte,0
2085,Hermia Rodríguez,0
2086,Pedro Suárez,0
2087,Aldo Ramacciotti,0
2088,Antonio Álvarez,8
2089,Julio Varela,0
2091,José Ramón Cruz,5
2092,Vicente Mario Mauriño,0
2093,Raúl Franco,1
2094,Francisco Da Silva,0
2095,Atilio Gorni,0
2096,Carlos Vigliola,0
2097,Willy Píriz,0
2098,Emilio Ramos,0
2099,Matías González,0
2100,Fernando Silva,0
2101,Otto Giliberti,0
2102,Néstor Cerruti,1
2103,Basilio Georgieff,0
2105,Diego Luis Pereira,3
2106,Pedro Mazzullo,1
2107,Juan Luis Buzetti,0
2108,Juan Carlos González,2
2109,Raúl Meneses,0
2110,Dionisio Eguía,0
2111,Óscar Varela,9
2112,Ricardo Scapuccio,5
2113,Arístides Pittamiglio,3
2114,Alejandro Nicola,0
2115,Pascual Arturo Dibello,0
2116,Ramón Muniz,0
2117,Luis Ferrando,0
2119,Juan Carlos García,0
2120,Manuel González,0
2121,Pascual Desiderio,0
2122,Victorio Garibone,0
2123,Manuel Cenizzo,0
2124,Eduardo Castilla,7
2125,Miguel Salinas,0
2126,Héctor Gauna,0
2127,Omár Wins,0
2128,Morris,0
2129,Antonio Pérez,0
2130,Ricardo Silvera,1
2131,Felípe Santos,0
2132,Luis Villa,0
2133,Valentín Miraballes,0
2134,Lino González,0
2135,Julio Pajor,1
2136,Héctor Olímpico Argenti,0
2137,Washington Barrios,0
2138,Miguel Elena,0
2139,Luis Ómar Puime,0
2140,Foti Mosco,1
2141,Washington Sosa,0
2143,Mujica,0
2144,Julio César Quiroga,0
2145,Horacio Pietropinto,2
2146,Juan Goyeneche,2
2147,José María Rodríguez,0
2148,José Tognola,0
2149,Antonio Bruzzese,4
2150,Santiago Muiños,0
2151,Felipe Insargaray,1
2152,Juan Bixio,0
2153,Carlos Tosetti,0
2154,Juan Carlos Soria,0
2155,Atilio Berninzone,4
2156,Enrique Savio,0
2157,Bernabé Pons,2
2158,Ramón Valverde,0
2159,Adhemar Gallo,0
2161,Juan Perusso,0
2162,Anselmo Yamandú Fiorelli,3
2163,Portalupi,0
2164,Juan José Mora,1
2166,Mario Mederos,0
2167,Juan Nélson Novasco,0
2168,Luis Nelson Le Pera,0
2169,Heriberto de León,0
2170,Germán Aragonés,0
2171,Elbio Fierro,2
2172,Diego Carreras,0
2174,Domingo Di Martino,0
2175,Venancio Silver Bartibás Riquero,0
2176,Pablo Serrato,1
2177,Silvio Salles,3
2178,Lorenzo Hugo Ceschi,1
2179,Marcos Encina,0
2180,Cándido Badalá,0
2181,Conrado Haeberli,5
2182,Rafael Sansone,5
2183,Domingo Gentile,0
2184,Carlos González Alonso,0
2185,Damián Antonio Mapelli,0
2186,Leônidas Da Silva,3
2187,Fausto Batignani,0
2188,Alberto Berisso,0
2189,Oliver Icardi,21
2190,Pedro Aguirre,1
2191,Francisco Pedro Arispe,0
2192,Vicente Albanese,0
2193,Silvio Pirillo,24
2194,Raúl Cámpora,2
2195,Nicolás Roberto Orlando,27
2196,José Alberto Pérez,4
2197,Héctor Demarco,2
2198,Pablo Arbeloa,0
2199,Andrés Paz López,1
2200,Juan Vigo,0
2201,Carlos Morixe,1
2202,A. Baliani,1
2203,H. Barrionuevo,0
2204,Roberto González,4
2205,C. Ivaldi,0
2206,Nélson Dutra,0
2207,Juan Carlos Lallana,0
2208,Wilson Silveira,0
2209,Luis Fernández,0
2211,Félix Silva,0
2212,Arturo Naón,15
2213,Héctor Agustín García,1
2214,Gumersindo Puentes,0
2215,Narciso Rivero,0
2216,Lucídio Baptista Da Silva,1
2217,J. Freitas,0
2218,Ruben Latallada,0
2219,Enrique Wagner,0
2220,Naurelino Correa,1
2221,Enrique Nario,0
2222,Ary Giménez,0
2223,Alfredo Roa,0
2224,Luis Radiche,0
2225,Uruguay Sosa,1
2226,Alberto González,0
2227,Luis Alberto Arrieta Pérez,0
2228,Adolfo Viera,1
2229,Nelly Presa,2
2230,Juan Carlos Leiva,0
2231,Francisco Sinibaldi,0
2232,Julio Isnardi,0
2233,Juan José Pereira,0
2234,Wilfredo Eizaga,0
2235,Luis Collares,0
2236,Tomás Gottbiels,0
2237,Vicente González,2
2238,Miguel Ángel Mansilla,0
2239,Isabelino Ramírez,0
2241,Julio César Rodríguez Garay,4
2242,Juvencio Osorio,1
2243,Julio César Pereyra,0
2244,Victor Manuel Fernández,0
2245,Washington Osvaldo Aires Borba,0
2246,Walter Da Rosa,2
2248,Daniel Walter Cavallero,2
2249,Jorge Walter Barrios Balestrasse,0
2250,Carlos Javier Odriozola,0
2251,Julio César Maciel,0
2253,Amilcar Ferraz,0
2254,Juan José Romero,3
2255,Francisco Campo,0
2256,Vicente Estavillo,1
2257,Walter La Palma,1
2259,Juan Emilio Píriz,1
2260,Percy Sedgfield,0
2261,Peter Desham,0
2262,John Mac Gregor,0
2263,"Richard Burns - ""Doull""",0
2265,"John Burns - ""Doull""",1
2266,John Daniel Woosey,6
2267,George Hopkins,0
2268,Arthur William Davenport,3
2270,Herbert Sagehorn,0
2271,Julio Negrón,3
2272,José Francisco Arteaga,0
2273,N. Moger,1
2274,James Stewart,0
2275,William Leslie Poole,0
2276,Herbert Ernest Aubrey Craven,2
2277,Estefani Reis,0
2278,Luis Carlos Sauco,4
2279,Gastón Linares,0
2280,Gustavo Dalto,4
2281,Héctor Méndez,2
2282,Claudio David Di Pascua,0
2283,Julio César Sopeña,0
2284,Alvaro Generali,2
2285,Claudio Martins,2
2286,Jorge Omár Valdéz,0
2287,Fernando Javier Cabrera Franggi,1
2288,Mauro Paglione,0
2289,José Luis Rodríguez,0
2290,Francisco Martiarena,0
2291,José Bonelli,0
2292,Juan Bello,0
2293,Héctor Macchiavello,0
2294,Emilio Peduto,0
2295,Roque Tottene,1
2296,Dagoberto Sa Varalla,0
2297,Orlando Becoña,0
2298,Agustín Berdiñas,5
2299,Rigieri Rossi,0
2300,Tomás González,0
2301,Abel Hernández,2
2302,Gilberto Verdi,0
2303,Walter Hugo Clavarés,1
2304,Euclides Franco,1
2306,Luis Alvarez,0
2307,Luis Mercadal,0
2308,Rodolfo Carreras,0
2309,Fredesvindo Scarone,0
2310,Luis Onorato,0
2311,Modesto Ortiz,0
2312,Juan García,0
2313,Albano Loayza,0
2314,Carlos Risso,0
2315,Carlos Kerberg,2
2316,José Licio,6
2317,Juan Carlos Paz Sosa,0
2318,Abel Roux,1
2319,Rogelio Guarnieri,0
2320,Roberto Fonseca,1
2322,Héctor Romero,0
2323,Luis Minoli,0
2324,Eduardo Pissanes,0
2325,Eliseo Domínguez,0
2326,Héctor De los Santos,0
2327,Rodolfo Perreta,0
2328,Luis Pereyra,1
2329,Nelson Flores,6
2331,Arcy Correa,0
2332,A. Pereyra,0
2333,Pedro Petrone Schiavone,7
2334,Antonio Quagliatta,0
2335,Elías Dell' Avo,0
2336,Héctor Montero,0
2337,José Ramón Yanque,0
2338,Juan Carlos Benedussi,0
2339,Juan Etcheverry,0
2340,José Lamas (a prueba),1
2345,Isabelino Rodríguez,0
2346,Maldonado,0
2347,Julio Richieri,0
2349,Bergara,0
2350,Adolfo Erico,4
2351,Souza,0
2352,José María Villadóniga,0
2353,Oscar Díaz,2
2354,Héctor Donapetri,1
2355,Mendilarzu,0
2356,Eulogio Yaguno,0
2357,Bolívar Albistur,0
2358,Raúl Gotuzzo,3
2359,Bica,0
2360,Julio Rodas,1
2361,Antonio Azevedo,0
2362,Héctor Gualdoni,0
2363,Osvaldo Cluzet,0
2364,Blas Hipólito Baz Silva (jugador de Racing a préstamo),0
2365,Juan María Bermúdez,0
2367,Gustavo Castrillón da Cunha,0
2368,Marcelo Lancieri,0
2369,Fabián Costello,4
2370,Federico Agnese,3
2371,Andrés Mur,1
2373,Uberfil González,0
2374,Omar Tejera,0
2375,A. de Cicco,0
2377,Enrique Navarro,2
2380,Juan Mermies,0
2381,Eduardo Silvera,0
2382,Mario Da Cunha,0
2383,Néstor Cerqueiro,3
2384,Julio César Benavídez (a prueba),1
2385,Enrique Arregui,0
2386,César Tonar,0
2387,Julio Arriola,0
2389,Jorge Pereyra De los Santos,0
2390,Orlando Bugallo,0
2392,Jesús Quevedo,0
2393,Raúl Arándiga López,0
2394,Nicolás Panto,0
2395,Washington Pereyra,0
2396,Juan Francisco Medina,0
2397,Roberto Dutruel,0
2398,Antonio Amado,0
2400,Antonio Pelúa,0
2401,Luis Recalde,0
2402,Roberto Leopardi,0
2403,Juan José Rivero,0
2404,Juan Cavali,0
2405,Antonio Medrano,0
2406,Juan Mogordoy,0
2407,César Rodríguez Barboza,0
2409,W. Velázquez,0
2410,Juan Carlos Peón,0
2411,Ruben Pedrozo,0
2412,Julio Rosa,0
2413,Juan Richard Morán,0
2415,Héctor Arguello,0
2416,Santiago Homenchenko,0
2428,Luis Gualberto Maciel,0
2429,Antonio Soñora,0
2430,Luis Rivadavia,0
2431,Luis Angrisani,0
2432,Daniel Di Bartolomeo,0
2433,Alcides Gómez,0
2434,Carlos Apratto,0
2435,Luis Rocha,1
2436,Jorge Chessio,1
2437,Mario Areco,0
2438,Diroza,0
2439,Nélson Lacerda,0
2440,Euclides Sena,0
2441,Miguel Moreira,0
2442,Luis Mesa,0
2443,Miguel Plá,0
2444,Gomensoro,0
2445,Alberto Abelleira Silva,0
2446,Fernando Caballero,1
2447,Daniel Allende,0
2448,Antonio Falcón,0
2449,Jorge Sosa,0
2450,Alberto Moreno,0
2452,Zacarias,0
2453,Roberto Álvarez,1
2455,Eduardo Belza Franco,0
2456,Fredy Freire,0
2458,Luis Daniel Cupla Oviedo,1
2459,Gonzalo Vicente,0
2461,Fabián Alexander Díaz,0
2462,Fernando López,0
2463,Randall Rodríguez,0
2464,Lucas Graneri,0
2465,Bruno Javier Barbato Téliz,0
2466,Simón Rodríguez,0
2467,Martín Gambetta,0
2468,Marcelo Larrosa,0
2469,Daniel Grillo,0
2470,Juan José Bogado,0
2471,Víctor Amengual,0
2472,Marcelo Paglia,0
2473,Sergio Zamora,0
2474,Gonzalo Erik De Los Santos Olivera,0
2475,Marcos Patricio Camarda Télis,0
2476,Ángel Cardozo,0
2477,Fabián Ezequiel Borges De Los Santos,0
2478,Joaquín Darío Machado Arispe,1
2479,Carlos Andrés Jacques Coelho,4
2480,Fernando Rocha,0
2481,Oscar Alsina (a prueba),0
2483,Renato Ferreira (a prueba),0
2484,Sergio Acuña,1
2485,Antonio Zelenkov Silvestre (a prueba),1
2486,Miguel Filus,0
2487,Marcos Ramos,0
2488,Guillermo González,0
2489,José Constanzo,0
2490,Juan Manuel Rodríguez,0
2491,Lucas Pereira (a prueba),0
2492,Rodrigo Pollero,0
2493,Federico Omar Saroldi,0
2494,Luis Laurino,0
2495,Nelson Gargiullo,0
2496,Bruno Irigoin,0
2497,Elbio Garrasini,0
2498,Manuel Martins,0
2499,Ricardo Guido,0
2500,Mario Altamirano,1
2502,Juan Peratto,0
2503,Antonio Sacco,2
2504,Alfredo Kieffer,0
2505,Ángel Sánchez,0
2506,Martín Ricardo Broli Gorgoroso,1
2507,Alberto Martínez Píriz,1
2508,José Alberto Gómez,0
2509,Gustavo De Simone,0
2510,Héctor Viglio,0
2512,Juan Carlos Da Rosa,0
2513,Jean Belhot,0
2514,René Borjas (refuerzo de Uruguay Onward),0
2515,Agustín Héctor Castro Rodríguez (refuerzo de Lito),1
2516,Germán Montero,2
2517,Armand Doorn (a prueba),0
2518,Martin Duplex Kanga (a prueba),0
2519,Marciano Rolando Chilavert González (a prueba),1
2520,Nazaire Michel Tatap (a prueba),0
2521,Luis Ademir Silva,0
2522,Agustín Rodríguez Canobra,0
2523,Cristian Fabián Callejas Rodríguez (a prueba),0
2525,Matías Ferreira,0
2526,Luis Jaime,0
2527,Asdrúbal Rodríguez,0
2528,Héctor Biglio,0
2529,Alfred Herfield,0
2530,A. Blanco,0
2531,Jorge Chanes,1
2532,Sebastián Javier Rodríguez Iriarte,9
2534,P. Seoane,0
2536,Meirán,0
2537,Anderson Michael Bonette Rodríguez,0
2538,Manuel Souto,0
2539,Damián Costa,0
2540,Facundo Vega,0
2541,Simón Changa Bass,0
2542,Franco Natanel García,0
2543,Matías Alarcón,0
2544,J. Bonomi,0
2545,M. Mino,0
2546,Federico Antúnez,0
2547,Agustín Nadruz Blanco,0
2548,Miguel Merentiel,0
2549,Álvaro Acevedo Fagúndez Suárez,0
2550,Maximiliano Ramos,0
2551,Anyelo Rodríguez,0
2552,Júnior Núñez,0
2553,Cristian Martín Higuimaran Alegre,0
2554,Luis Iván Cartés Maidana,0
2555,Armando Méndez,0
2556,Maximiliano Silvera,0
2557,Jonathan Valle (a prueba),0
2558,Agustín Pírez,0
2559,Sergio Agustín Peralta,0
2560,A. Gardera,0
2562,Juan Antonio Peluffo,0
2563,Navarrón,0
2564,J. Gini,0
2565,Cabrera,0
2567,F. Varela,2
2569,Sebastián Hohl Lorenzo,0
2570,Diego Tabárez,0
2571,Cristian Álvez,0
2572,Axel Fernández,0
2573,Leonardo Henriques Coelho,3
2574,Mario Enrique Raffart,1
2575,Walter Orestes Rey,1
2576,Fabricio Méndez,0
2577,Celestino Tejera,0
2578,José Zaballa,0
2579,Richard Fabián Pérez Borges,2
2580,Elbio Maximiliano Álvarez Wallace,0
2581,Carlos Andrés Sánchez Arcosa,4
2582,Jorge Fleitas,0
2583,Bruno Martín Correa Araújo,0
2584,Emiliano Fernández,0
2585,Bruno Santos (a prueba),0
2586,Nelson Gabriel Samurio Cardozo,0
2587,Lucas Patricio Romano (a prueba),0
2588,Agustín Gutiérrez,0
2589,Ernesto Ezequiel Hernández Oncina,0
2590,Maximiliano López,0
2591,Pablo Adrián Castro Duret,0
2592,Olivieri,0
2593,Vila,0
2594,Casenave,0
2596,Severo,0
2597,Luis Cesano,0
2598,Gabriel Cabrera,0
2599,Federico Púa,0
2600,Claudio Etchechury,0
2601,Aníbal Gabriel Alcoba Rebollo,0
2602,Gastón Nicolás Balbuena Rieta,0
2603,Daniel Barreto,0
2604,Sebastián Schneider,0
2605,Paulo Toledo,0
2606,Raúl Andrés Tarragona Lemos,1
2607,Ramón Bucetta,0
2614,Horacio Finamore,4
2615,Aníbal Montero,0
2617,Jorge Milton Riveiro Cáceres,0
2618,Saccone,0
2625,Luis Alberto Francisco Larraura Alsina,0
2626,Jorge Roberto Enrico,1
2627,Federico Horacio Laens Martino,0
2628,Ricardo Cubilla Behr,1
2629,Octavio Luis Acquarone Salaberry,1
2633,Jhonny Mario Da Costa,0
2637,Roberto Figueroa,0
2638,Julio César Rivadavia,0
2639,Pablo Aniceto Dorado Gallinares,0
2642,Joaquín Ferreira Padilla,0
2643,Óscar José Cruz González,1
2644,Gonzalo Elliot,0
2645,Picarelli,0
2646,San Román,0
2647,José Arrico,0
2648,Douglas Matías Arezo Martínez,28
2649,Alvim,1
2650,Osmair Göebel (a prueba),0
2651,Jorge Miguel Buzeta,0
2652,Marc Hérdold Gracien,0
2653,Javier Quirino,0
2654,Ángelo Paleso,0
2655,Diego Cardozo Barboza,2
2656,Rodolfo Alejandro Azambuya Gularte,0
2657,Pablo Gastón Orsi,0
2658,Pablo Urtazú,0
2659,Lena,0
2660,Marotta,0
2661,Calzani,0
2662,Vanet,0
2663,Gil,0
2664,Rodríguez,0
2665,Roselló,0
2666,Ricardo Vallarino,2
2667,Faresse,0
2668,Lombardi,0
2669,Pedalino,1
2670,A. David,0
2671,Rozas,1
2672,Castro,0
2673,Diego Alejandro Rolan Silva,0
2675,Vicente Módena,2
2676,Alfredo Viera,0
2677,Arturo Souto,0
2678,Nerly Bueno,2
2679,Jorge Rama,0
2680,Diego Nicolás Ciz Vaz Torres,0
2681,Alfredo Chaia,0
2682,Jorge Ignacio González,0
2683,Esteban Jara,0
2684,Michael Edward Leal,0
2685,Joel Andrada,0
2686,Torrens,1
2687,Manzzini,1
2688,Lois,0
2689,Bruno Campolo,0
2692,Daniel Martínez,0
2693,Juan Píriz,0
2694,A. Berdias,0
2695,Fausto Broncini Su,0
2696,Sadi Couture,0
2697,Luis Morás,0
2698,S. Marco,0
2699,Pablo Caetano,0
2700,Juan Carlos Iraola Pereira,0
2701,Bruno Schieffer,0
2702,J. Parodi,0
2703,Andrés Madruga,0
2704,Nahuel Herrera,2
2705,Damián García,1
3706,Thomas Bowen Davies,5
3712,Guillermo Rafael de Amores,0
3714,Ángel González,0
3703,Eliseo Cuadra,0
3705,Bruno Emanuel Betancor Baeza,0
3707,Vito Fierro,1
3709,Braulio Guisolfo López,0
3715,José Pablo Neris Figueredo,3
3710,Santiago Nicolás Díaz Prado,2
3718,Camilo Sebastián Mayada Mesa,2
3716,Faustino Fernández,0
3719,Hugo Bera,2
3713,Ignacio Sosa Ospital,2
3711,Jorge Phoyú,0
3717,Mathías Agustín de Ritis,0
3723,Franco González Fernández,5
3722,Jorge Redes,0
3721,Julio Cassalino,0
3720,Julio Acosta,0
4718,J. Barreiro,0
4720,Nelson Romanelli,0
4721,Alberto Martínez,0
4719,Ramón Cabrera,0
4726,Diego Alejandro Sosa,1
4722,José Berta,0
4724,Francisco Fedullo,1
4723,Marcelo Javier Cabrera Rivero,7
4727,Washington Eduardo Darias,8
4731,Mesa,2
4734,Leonardo Cecilio Fernández López,33
4728,Maximiliano Joaquín Silvera Cabo,31
4733,Óscar Javier Méndez Albornoz,4
4729,Byron David Castillo Segura,0
4732,Nahuel Acosta Da Silva,2
4739,Santiago Miguel Benítez Hegui,0
4738,Guzmán Rodríguez Ferrari,2
