ID,Nombre,Goles,Foto
63,Víctor Legorburo,9,c:\xampp\htdocs\Libros\proyect_1891\src\..\data\images\63.jpg
64,Carlos Scarone,42,c:\xampp\htdocs\Libros\proyect_1891\src\..\data\images\64.jpg
65,Guillermo Manito,6,c:\xampp\htdocs\Libros\proyect_1891\src\..\data\images\65.jpg
66,Julio López,1,c:\xampp\htdocs\Libros\proyect_1891\src\..\data\images\66.jpg
67,Carlos Broggia,0,c:\xampp\htdocs\Libros\proyect_1891\src\..\data\images\67.jpg
68,Pedro Casal,1,c:\xampp\htdocs\Libros\proyect_1891\src\..\data\images\68.jpg
69,Luis Quaglia,34,c:\xampp\htdocs\Libros\proyect_1891\src\..\data\images\69.jpg
70,Carlos Ronzoni,0,c:\xampp\htdocs\Libros\proyect_1891\src\..\data\images\70.jpg
71,Julio Facello,0,c:\xampp\htdocs\Libros\proyect_1891\src\..\data\images\71.jpg
72,Ernesto Andrés Raffo,0,c:\xampp\htdocs\Libros\proyect_1891\src\..\data\images\72.jpg
73,Sábato Ángel Romano,12,c:\xampp\htdocs\Libros\proyect_1891\src\..\data\images\73.jpg
74,Luis Solans,0,c:\xampp\htdocs\Libros\proyect_1891\src\..\data\images\74.jpg
75,Máximo Plazaola,0,c:\xampp\htdocs\Libros\proyect_1891\src\..\data\images\75.jpg
76,Antonio Campolo,64,c:\xampp\htdocs\Libros\proyect_1891\src\..\data\images\76.jpg
77,Roberto Chery,0,c:\xampp\htdocs\Libros\proyect_1891\src\..\data\images\77.jpg
78,Ernesto Cornú,0,c:\xampp\htdocs\Libros\proyect_1891\src\..\data\images\78.jpg
79,Juan Roque Gesuele,9,c:\xampp\htdocs\Libros\proyect_1891\src\..\data\images\79.jpg
80,Isabelino Gradín,73,c:\xampp\htdocs\Libros\proyect_1891\src\..\data\images\80.jpg
81,Alfredo Granja,3,c:\xampp\htdocs\Libros\proyect_1891\src\..\data\images\81.jpg
82,Luis Melgar,0,c:\xampp\htdocs\Libros\proyect_1891\src\..\data\images\82.jpg
83,Jorge Pacheco,0,c:\xampp\htdocs\Libros\proyect_1891\src\..\data\images\83.jpg
84,José Pérez,65,c:\xampp\htdocs\Libros\proyect_1891\src\..\data\images\84.jpg
85,Pedro Rímolo,0,c:\xampp\htdocs\Libros\proyect_1891\src\..\data\images\85.jpg
86,Domingo Bernardo Savio,1,c:\xampp\htdocs\Libros\proyect_1891\src\..\data\images\86.jpg
87,Manuel Varela,4,c:\xampp\htdocs\Libros\proyect_1891\src\..\data\images\87.jpg
88,Mario Viola,5,c:\xampp\htdocs\Libros\proyect_1891\src\..\data\images\88.jpg
89,Antonio Bartolazzo,4,c:\xampp\htdocs\Libros\proyect_1891\src\..\data\images\89.jpg
90,Augusto Delacroix,0,c:\xampp\htdocs\Libros\proyect_1891\src\..\data\images\90.jpg
91,Alberto Romeo Elena,1,c:\xampp\htdocs\Libros\proyect_1891\src\..\data\images\91.jpg
92,José Alfredo Lista,0,c:\xampp\htdocs\Libros\proyect_1891\src\..\data\images\92.jpg
93,Julio Mallo,0,c:\xampp\htdocs\Libros\proyect_1891\src\..\data\images\93.jpg
94,Armando Artigas,116,c:\xampp\htdocs\Libros\proyect_1891\src\..\data\images\94.jpg
95,José Pedro Benincasa,1,c:\xampp\htdocs\Libros\proyect_1891\src\..\data\images\95.jpg
96,Vicente Curto,1,c:\xampp\htdocs\Libros\proyect_1891\src\..\data\images\96.jpg
97,Juan Delgado,4,c:\xampp\htdocs\Libros\proyect_1891\src\..\data\images\97.jpg
98,Guillermo Ángel Ferrero,9,c:\xampp\htdocs\Libros\proyect_1891\src\..\data\images\98.jpg
99,Carlos Leyenda,0,c:\xampp\htdocs\Libros\proyect_1891\src\..\data\images\99.jpg
100,Carlos Antonio Márquez Castro,0,c:\xampp\htdocs\Libros\proyect_1891\src\..\data\images\100.jpg
101,Juan Carlos Reggiardo,0,c:\xampp\htdocs\Libros\proyect_1891\src\..\data\images\101.jpg
102,Pascual Ruotta,26,c:\xampp\htdocs\Libros\proyect_1891\src\..\data\images\102.jpg
103,Juan Manuel Valverde,4,c:\xampp\htdocs\Libros\proyect_1891\src\..\data\images\103.jpg
104,Juan Carazús,0,c:\xampp\htdocs\Libros\proyect_1891\src\..\data\images\104.jpg
105,Américo Luchini,1,c:\xampp\htdocs\Libros\proyect_1891\src\..\data\images\105.jpg
106,Juan Carlos Nappias,1,c:\xampp\htdocs\Libros\proyect_1891\src\..\data\images\106.jpg
107,Miguel Bernardo Rognoni,0,c:\xampp\htdocs\Libros\proyect_1891\src\..\data\images\107.jpg
108,Andrés Banchesse,0,c:\xampp\htdocs\Libros\proyect_1891\src\..\data\images\108.jpg
109,Raul Constantino,0,c:\xampp\htdocs\Libros\proyect_1891\src\..\data\images\109.jpg
110,Jesús Chans,0,c:\xampp\htdocs\Libros\proyect_1891\src\..\data\images\110.jpg
111,Juan Pedro Arremón,60,c:\xampp\htdocs\Libros\proyect_1891\src\..\data\images\111.jpg
112,Pedro Juan Balparda,0,c:\xampp\htdocs\Libros\proyect_1891\src\..\data\images\112.jpg
113,Alberto Bonini,1,c:\xampp\htdocs\Libros\proyect_1891\src\..\data\images\113.jpg
114,Juan Legnazzi,0,c:\xampp\htdocs\Libros\proyect_1891\src\..\data\images\114.jpg
115,Carlos Mongelar,18,c:\xampp\htdocs\Libros\proyect_1891\src\..\data\images\115.jpg
116,Juan Antonio Olivera,9,c:\xampp\htdocs\Libros\proyect_1891\src\..\data\images\116.jpg
117,Conrado Donaldo Ross,4,c:\xampp\htdocs\Libros\proyect_1891\src\..\data\images\117.jpg
118,José Suárez,0,c:\xampp\htdocs\Libros\proyect_1891\src\..\data\images\118.jpg
119,Pablo Terevinto,252,c:\xampp\htdocs\Libros\proyect_1891\src\..\data\images\119.jpg
120,Carlos Amatto Rinaldo,12,c:\xampp\htdocs\Libros\proyect_1891\src\..\data\images\120.jpg
121,Emilio Cabrera,0,c:\xampp\htdocs\Libros\proyect_1891\src\..\data\images\121.jpg
122,Pascual Guelmi,7,c:\xampp\htdocs\Libros\proyect_1891\src\..\data\images\122.jpg
123,Alberto Jerjes,0,c:\xampp\htdocs\Libros\proyect_1891\src\..\data\images\123.jpg
124,Juan Peralta,11,c:\xampp\htdocs\Libros\proyect_1891\src\..\data\images\124.jpg
127,Antonio Aguerre,0,c:\xampp\htdocs\Libros\proyect_1891\src\..\data\images\127.jpg
128,Arturo Fraga,5,c:\xampp\htdocs\Libros\proyect_1891\src\..\data\images\128.jpg
129,Pascual Paola,30,c:\xampp\htdocs\Libros\proyect_1891\src\..\data\images\129.jpg
130,Ladislao Pérez,39,c:\xampp\htdocs\Libros\proyect_1891\src\..\data\images\130.jpg
131,José Posse,1,c:\xampp\htdocs\Libros\proyect_1891\src\..\data\images\131.jpg
132,Andrés Ravera,0,c:\xampp\htdocs\Libros\proyect_1891\src\..\data\images\132.jpg
133,Andrés Rodríguez,0,c:\xampp\htdocs\Libros\proyect_1891\src\..\data\images\133.jpg
134,Feliciano Romero,0,c:\xampp\htdocs\Libros\proyect_1891\src\..\data\images\134.jpg
135,Antonio Sacco,161,c:\xampp\htdocs\Libros\proyect_1891\src\..\data\images\135.jpg
136,Gildeón Silva,7,c:\xampp\htdocs\Libros\proyect_1891\src\..\data\images\136.jpg
137,Raúl Tognochi,5,c:\xampp\htdocs\Libros\proyect_1891\src\..\data\images\137.jpg
138,Cirilo Estívez,0,c:\xampp\htdocs\Libros\proyect_1891\src\..\data\images\138.jpg
139,Demis Dagosto,0,c:\xampp\htdocs\Libros\proyect_1891\src\..\data\images\139.jpg
140,José Dagosto,14,c:\xampp\htdocs\Libros\proyect_1891\src\..\data\images\140.jpg
141,Pablo Biscardi,0,c:\xampp\htdocs\Libros\proyect_1891\src\..\data\images\141.jpg
142,Héctor Ferrando,0,c:\xampp\htdocs\Libros\proyect_1891\src\..\data\images\142.jpg
143,Próspero Pérez,14,c:\xampp\htdocs\Libros\proyect_1891\src\..\data\images\143.jpg
144,Juan Santero,1,c:\xampp\htdocs\Libros\proyect_1891\src\..\data\images\144.jpg
145,Héctor Ardoguein,0,c:\xampp\htdocs\Libros\proyect_1891\src\..\data\images\145.jpg
146,José Gervasio Artigas,3,c:\xampp\htdocs\Libros\proyect_1891\src\..\data\images\146.jpg
147,Alfredo Boccardo,1,c:\xampp\htdocs\Libros\proyect_1891\src\..\data\images\147.jpg
148,Lorenzo Fernández,45,c:\xampp\htdocs\Libros\proyect_1891\src\..\data\images\148.jpg
149,Álvaro Antonio Gestido,11,c:\xampp\htdocs\Libros\proyect_1891\src\..\data\images\149.jpg
150,Arturo Hohl,7,c:\xampp\htdocs\Libros\proyect_1891\src\..\data\images\150.jpg
151,Juan Ramón Jaurreche,0,c:\xampp\htdocs\Libros\proyect_1891\src\..\data\images\151.jpg
152,Ricardo Miramontes,0,c:\xampp\htdocs\Libros\proyect_1891\src\..\data\images\152.jpg
153,Juan Necchi,12,c:\xampp\htdocs\Libros\proyect_1891\src\..\data\images\153.jpg
154,Alberto Nogués,0,c:\xampp\htdocs\Libros\proyect_1891\src\..\data\images\154.jpg
155,Fulgencio Ojeda,3,c:\xampp\htdocs\Libros\proyect_1891\src\..\data\images\155.jpg
156,Ramón Olhagaray,5,c:\xampp\htdocs\Libros\proyect_1891\src\..\data\images\156.jpg
157,Mario Portugal,1,c:\xampp\htdocs\Libros\proyect_1891\src\..\data\images\157.jpg
158,Ángel Ramos,1,c:\xampp\htdocs\Libros\proyect_1891\src\..\data\images\158.jpg
159,Carlos Juan Riolfo,0,c:\xampp\htdocs\Libros\proyect_1891\src\..\data\images\159.jpg
160,Ángel Suárez,2,c:\xampp\htdocs\Libros\proyect_1891\src\..\data\images\160.jpg
161,Arturo Suffiotti,31,c:\xampp\htdocs\Libros\proyect_1891\src\..\data\images\161.jpg
162,Miguel Capuccini,0,c:\xampp\htdocs\Libros\proyect_1891\src\..\data\images\162.jpg
163,Vicente Sarni,15,c:\xampp\htdocs\Libros\proyect_1891\src\..\data\images\163.jpg
164,Juan Peregrino Anselmo,94,c:\xampp\htdocs\Libros\proyect_1891\src\..\data\images\164.jpg
165,Carlos Otonello,0,c:\xampp\htdocs\Libros\proyect_1891\src\..\data\images\165.jpg
166,Plácido Anselmo Pintado,15,c:\xampp\htdocs\Libros\proyect_1891\src\..\data\images\166.jpg
167,Alfredo Toscano,0,c:\xampp\htdocs\Libros\proyect_1891\src\..\data\images\167.jpg
168,Guillermo Boffi,0,c:\xampp\htdocs\Libros\proyect_1891\src\..\data\images\168.jpg
169,Vicente Capuccio,3,c:\xampp\htdocs\Libros\proyect_1891\src\..\data\images\169.jpg
